label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,in_plane,sample,type,x_std,y_std,z_std,rotation,int_threshold
1,7.3771477663230245,281.03006872852234,518.6374570446735,1777.0,1.5692449897820617,1064.5609965635738,942.1692439862543,930.659793814433,False,mCherryi_2_b1,mCherry RNAi,-0.10946513214918474,-0.6250670973533416,-39.91133542375164,85,800
2,4.994984954864594,356.67301905717153,483.4363089267803,1226.0,1.4006071553627006,1423.0080240722166,1676.887662988967,1198.2888665997993,False,mCherryi_2_b1,mCherry RNAi,0.04933965894120007,-0.4175977247964763,-44.57834206764975,85,800
3,6.015815085158151,316.26885644768856,490.18491484184915,1093.0,1.5368282876062247,1486.639902676399,1755.587591240876,1330.903892944039,False,mCherryi_2_b1,mCherry RNAi,0.010927467955015535,-0.5311980966597947,-43.01686276356752,85,800
4,8.458549222797927,775.7962003454231,578.1416234887738,1512.0,1.3504316719314435,1491.2357512953367,1233.4481865284974,1630.6312607944733,False,mCherryi_2_b1,mCherry RNAi,-0.1840775849777403,0.7988071183766741,-37.45112444953776,85,800
5,10.0187265917603,289.2986891385768,539.9073033707865,1405.0,1.411854828306568,1860.7312734082398,1817.690074906367,1010.7556179775281,False,mCherryi_2_b1,mCherry RNAi,-0.18829860152611788,-0.596595092906897,-36.10679276009377,85,800
6,9.956140350877194,318.75,507.45526315789476,1749.0,1.4074296402825928,1464.2833333333333,1669.0771929824562,1268.5991228070175,False,mCherryi_2_b1,mCherry RNAi,-0.0540110851218365,-0.5201464168923537,-38.11821305264473,85,800
7,11.007060900264785,326.33892321270963,522.8526037069727,1505.0,1.4069241623757593,1341.4466019417475,2013.8340688437777,1280.9682259488084,False,mCherryi_2_b1,mCherry RNAi,-0.11076698207725588,-0.49496459802091375,-36.23044521218937,85,800
8,11.777118644067796,396.8966101694915,425.56186440677965,1454.0,1.3303767532206439,493.03898305084743,1764.971186440678,1402.1186440677966,False,mCherryi_2_b1,mCherry RNAi,0.2864948185457108,-0.3163263938030587,-41.23361527704483,85,800
9,11.14185393258427,738.8160112359551,660.8609550561798,1079.0,1.3979662049350503,902.9227528089888,1028.1530898876404,924.568820224719,True,mCherryi_2_b1,mCherry RNAi,-0.51392223164246,0.7124994028929412,-29.95655822896584,85,800
10,13.501269035532994,332.2715736040609,473.752538071066,1174.0,1.5061609497512851,1695.0,1704.0736040609138,1263.8819796954315,False,mCherryi_2_b1,mCherry RNAi,0.08091277806318264,-0.48939393661274777,-36.534611075836935,85,800
11,12.272206303724928,265.32378223495704,515.5797516714422,1485.0,1.6582076901060538,1608.9398280802293,1794.546322827125,1466.0888252148998,True,mCherryi_2_b1,mCherry RNAi,-0.1015108504031973,-0.6705456647005423,-35.13389254521339,85,800
12,12.280860702151756,326.1812004530011,501.2366930917327,1134.0,1.4002032600335188,1034.7701019252547,894.4937712344281,842.9263873159683,False,mCherryi_2_b1,mCherry RNAi,-0.027208042621509998,-0.5004059104654122,-36.17782078969562,85,800
13,14.066612510154346,352.2591389114541,456.01137286758734,1876.0,1.4989004889992432,1250.3639317627944,1628.5905767668562,1313.8285946385054,False,mCherryi_2_b1,mCherry RNAi,0.15567168323779046,-0.4365232756486932,-37.05116637254481,85,800
14,14.856808610201217,619.1211979410389,375.43893308376227,2742.0,1.225641386411346,457.8437061300889,946.4875994384652,932.5849321478709,False,mCherryi_2_b1,mCherry RNAi,0.5498040174161927,0.30546409147252485,-41.875319313879906,85,800
15,13.431794871794871,752.9794871794871,612.4707692307692,1379.0,1.3494859183792776,1401.888205128205,1854.5958974358975,1199.7558974358974,True,mCherryi_2_b1,mCherry RNAi,-0.32245294248156353,0.7416930631287904,-30.45749899703239,85,800
16,14.0,252.20940550133096,528.5199645075421,1482.0,1.322745712114355,1309.189884649512,1692.0239574090506,1078.346051464064,True,mCherryi_2_b1,mCherry RNAi,-0.15511282596890985,-0.7049389304865961,-32.6262527624058,85,800
