label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,in_plane,sample,type,x_std,y_std,z_std,rotation,int_threshold
1,9.015625,625.7989583333333,793.746875,1130.0,1.3996966791593997,855.153125,1993.0333333333333,1259.54375,False,VKD_2_b1,Vsx1/2 RNAi,0.7515884820430077,-0.28749562699314435,-57.03945995676282,-80,800
2,9.268462206776716,693.1059947871416,681.3318853171155,1423.0,1.5835696142167166,718.7185056472632,1624.0495221546482,1162.0364900086881,False,VKD_2_b1,Vsx1/2 RNAi,0.40334691619347307,-0.4447000275011803,-56.94713463422511,-80,800
3,9.08955223880597,711.8358208955224,716.2153518123667,1265.0,1.7471185091391168,852.9722814498934,1493.3550106609807,1211.2452025586354,False,VKD_2_b1,Vsx1/2 RNAi,0.5054293231014875,-0.4968768664849639,-56.18927535014699,-80,800
4,14.189673340358272,412.59430979978924,824.9241306638567,1186.0,1.3126139432312753,1054.341412012645,1844.9747102212855,885.5858798735511,False,VKD_2_b1,Vsx1/2 RNAi,0.877341229423007,0.2521525406694831,-56.17811962853915,-80,800
5,13.983756345177666,442.0913705583756,806.9928934010152,1147.0,1.3177844337562254,891.736040609137,1485.2873096446701,867.3634517766498,False,VKD_2_b1,Vsx1/2 RNAi,0.8189695269806834,0.1792539499683905,-55.989528236174934,-80,800
6,12.922518159806295,643.9806295399516,771.3014527845037,1014.0,1.513989452767132,1006.1476997578693,1608.8849878934625,1426.358353510896,False,VKD_2_b1,Vsx1/2 RNAi,0.6811810942916792,-0.3307425553179817,-53.05982487007231,-80,800
7,13.283175355450236,671.3436018957347,795.9004739336493,1062.0,1.2727304849143755,865.8815165876778,1918.7156398104266,906.0900473933649,False,VKD_2_b1,Vsx1/2 RNAi,0.7510088791066152,-0.403579237523759,-51.72184830166129,-80,800
8,12.413127413127413,749.2480694980695,655.9826254826255,1234.0,1.5381718523971133,992.3899613899614,1514.315637065637,1168.4295366795366,False,VKD_2_b1,Vsx1/2 RNAi,0.31850389312912575,-0.5843569227000963,-52.922659105446215,-80,800
9,14.460593654042988,545.7543500511771,825.1197543500512,1189.0,1.4532328835890276,715.3142272262027,1269.6499488229274,921.7922210849539,False,VKD_2_b1,Vsx1/2 RNAi,0.857802811705586,-0.0871877281342901,-52.92319231221077,-80,800
10,15.3,387.03434343434344,751.3606060606061,1215.0,1.3711819632619173,1272.9121212121213,2054.156565656566,950.9939393939394,False,VKD_2_b1,Vsx1/2 RNAi,0.6599303637993033,0.32670957075272655,-56.7315009405888,-80,800
11,15.383399209486166,788.2094861660079,652.1093544137022,975.0,1.5436396660791087,940.0250329380764,1954.4822134387352,1041.7667984189723,False,VKD_2_b1,Vsx1/2 RNAi,0.3008477698191727,-0.6829743920661084,-49.13863259066707,-80,800
12,15.406565656565656,674.5050505050505,735.0441919191919,959.0,1.3854433749380626,943.0959595959596,1836.1186868686868,1226.2449494949494,False,VKD_2_b1,Vsx1/2 RNAi,0.5674317572058687,-0.40376952248887943,-50.431043522959634,-80,800
13,17.618827160493826,442.0740740740741,753.2561728395061,823.0,1.2506621141025862,860.9182098765432,1438.182098765432,1469.6280864197531,False,VKD_2_b1,Vsx1/2 RNAi,0.6572207872322124,0.18634758204818191,-53.15315950642668,-80,800
14,16.455211726384366,463.31514657980455,735.3387622149837,1506.0,1.3386645454904396,629.985342019544,1512.6392508143322,953.6962540716612,False,VKD_2_b1,Vsx1/2 RNAi,0.6001773303472637,0.13442947910597236,-54.106552146636666,-80,800
15,17.228915662650603,550.4819277108434,812.0690032858707,1111.0,1.2988001441469685,348.37787513691126,1737.0021905805038,969.5739320920044,False,VKD_2_b1,Vsx1/2 RNAi,0.8177272110446763,-0.09741174560865506,-50.243591226938236,-80,800
16,17.211796246648795,687.4825737265415,723.210455764075,874.0,1.4704365815558156,722.9973190348526,1705.8297587131367,1402.1018766756033,False,VKD_2_b1,Vsx1/2 RNAi,0.5298095163781524,-0.43522843908314746,-48.51143537883968,-80,800
17,19.660377358490567,629.8423973362931,801.2386237513873,1172.0,1.8310356660161429,1074.338512763596,1928.9833518312985,1255.0421753607104,False,VKD_2_b1,Vsx1/2 RNAi,0.7730685228204166,-0.298124842617594,-46.19690687580105,-80,800
18,19.872685185185187,674.3310185185185,709.8275462962963,1155.0,1.8562931984302864,1118.1030092592594,1699.3599537037037,995.7824074074074,False,VKD_2_b1,Vsx1/2 RNAi,0.49144032554099204,-0.3998551962721265,-46.34443528747518,-80,800
19,22.305498981670063,424.3075356415479,722.4419551934827,1249.0,1.3805560649809718,1169.428716904277,2212.9653767820773,1109.908350305499,False,VKD_2_b1,Vsx1/2 RNAi,0.5670443598962367,0.2358178501314503,-49.322962897847525,-80,800
20,22.26216814159292,560.3982300884956,734.7986725663717,1112.0,1.5802176003641193,1095.6592920353983,1985.1482300884957,1139.6238938053098,False,VKD_2_b1,Vsx1/2 RNAi,0.5836480222330036,-0.11255599833431174,-46.13619256308589,-80,800
21,22.091939546599495,646.7644836272041,733.7191435768262,1020.0,1.5396154960373236,917.7329974811083,1649.1523929471032,1028.0793450881613,False,VKD_2_b1,Vsx1/2 RNAi,0.5673618573519974,-0.3325156033034844,-44.388792684642404,-80,800
22,21.679162072767365,668.6758544652702,773.45203969129,1106.0,1.4760132176404641,1449.9382579933847,2177.7938257993383,1688.2249173098126,False,VKD_2_b1,Vsx1/2 RNAi,0.6835568956634281,-0.39343059303452266,-43.7215627411986,-80,800
23,23.356410256410257,697.8076923076923,694.4435897435898,999.0,1.425454269264624,1091.8576923076923,1681.9807692307693,1219.2217948717948,False,VKD_2_b1,Vsx1/2 RNAi,0.4414863256468833,-0.4575185229606825,-42.564537369695095,-80,800
24,23.040552995391707,516.2645161290322,762.036866359447,1324.0,1.4563496135098353,435.7447004608295,1289.136405529954,1235.8405529953918,False,VKD_2_b1,Vsx1/2 RNAi,0.6721958140438988,-0.0035089442768900803,-45.94217230607864,-80,800
25,24.357655502392344,544.9952153110048,793.6232057416267,976.0,1.2789959434850988,911.5143540669857,1918.6614832535886,1033.6626794258373,False,VKD_2_b1,Vsx1/2 RNAi,0.7627903807253149,-0.08066338634297143,-43.51384114773335,-80,800
26,23.82262996941896,706.0993883792049,662.974006116208,809.0,1.4304334696641514,1016.2874617737003,1516.1926605504586,1043.5535168195718,False,VKD_2_b1,Vsx1/2 RNAi,0.34557662938851785,-0.47461785494998865,-42.37959589498161,-80,800
27,25.342304457527334,250.52312867956266,591.4381833473507,1425.0,1.3501176128771886,1681.671993271657,1498.1724137931035,1271.4693019343986,False,VKD_2_b1,Vsx1/2 RNAi,0.19920626231823912,0.6955147098320011,-52.120960325633256,-80,800
28,27.33644859813084,623.9626168224299,795.9240654205607,1122.0,1.4154285568282743,1175.7721962616822,1827.1028037383178,1766.9684579439252,False,VKD_2_b1,Vsx1/2 RNAi,0.7576578365609545,-0.2820128334397556,-38.73406502083858,-80,800
29,24.36144578313253,672.619812583668,764.0374832663989,941.0,1.4189552178176008,1408.091030789826,1941.5769745649263,1589.372155287818,False,VKD_2_b1,Vsx1/2 RNAi,0.6545382803793258,-0.40212530653264134,-41.09158195642046,-80,800
30,26.594805194805193,690.7155844155844,763.8818181818182,965.0,1.2780806113603709,1476.2142857142858,1833.3077922077923,1289.8272727272727,False,VKD_2_b1,Vsx1/2 RNAi,0.6512444575474465,-0.448087233456789,-38.45620645782566,-80,800
31,24.00640204865557,703.6952624839948,729.6466069142125,935.0,1.546502698060791,1149.7131882202304,2265.1165172855312,1504.8156209987196,False,VKD_2_b1,Vsx1/2 RNAi,0.5464355194513089,-0.4769612518048475,-41.26084982153119,-80,800
32,26.233935742971887,277.6516064257028,661.5943775100402,1216.0,1.5890810833312037,1337.1576305220883,1211.882530120482,856.5060240963855,False,VKD_2_b1,Vsx1/2 RNAi,0.4060508292033045,0.6175120883981464,-49.58176339037921,-80,800
33,26.38574423480084,449.29140461215934,728.0618448637316,1264.0,1.6069010701608437,1034.8406708595387,1787.0230607966457,1290.5377358490566,False,VKD_2_b1,Vsx1/2 RNAi,0.5800025636170125,0.17167725351498442,-44.60149514762681,-80,800
34,25.922118380062305,664.3956386292834,680.0841121495328,503.0,1.431588094118545,1116.3208722741433,1252.4485981308412,1622.01246105919,False,VKD_2_b1,Vsx1/2 RNAi,0.40324485381110753,-0.370396902164,-40.960762395145274,-80,800
35,27.33570581257414,725.7366548042704,602.1055753262159,1078.0,1.3622054769083867,1290.6951364175563,1313.3926453143536,1055.11743772242,False,VKD_2_b1,Vsx1/2 RNAi,0.15941678313108998,-0.5167099401290962,-39.33092434774138,-80,800
36,27.228473019517796,657.9850746268656,767.9655568312285,1072.0,1.4688664252365236,982.4041331802525,1739.5602755453501,1494.8909299655568,False,VKD_2_b1,Vsx1/2 RNAi,0.6684436460386949,-0.3651622516970927,-38.494973290370716,-80,800
37,28.80726872246696,758.9801762114538,602.1883259911895,1148.0,1.5273795252220848,1206.5737885462554,1764.1839207048458,1227.8436123348017,True,VKD_2_b1,Vsx1/2 RNAi,0.15458309394460534,-0.6013480762539749,-37.114404825168826,-80,800
38,29.01991150442478,232.07411504424778,607.7544247787611,1145.0,1.786347050767648,1842.9236725663716,1784.2533185840707,1516.8351769911505,False,VKD_2_b1,Vsx1/2 RNAi,0.25090910943364597,0.7406697068545982,-48.61572180066084,-80,800
39,29.19191919191919,477.089898989899,777.1090909090909,1166.0,1.3340874871190267,890.620202020202,1852.680808080808,1793.0434343434345,False,VKD_2_b1,Vsx1/2 RNAi,0.7231864142689735,0.09476513889522176,-40.44652500011375,-80,800
40,28.91168091168091,500.9297245963913,749.5166191832858,1244.0,1.4992029814284549,1144.5327635327635,1623.8395061728395,1419.820512820513,False,VKD_2_b1,Vsx1/2 RNAi,0.6366183210378724,0.03750737798518622,-40.60217493107771,-80,800
41,28.3596214511041,595.0241850683491,769.863301787592,1142.0,1.3553174092287954,912.0536277602523,2149.1335436382756,830.6246056782335,False,VKD_2_b1,Vsx1/2 RNAi,0.6836151104373327,-0.20489389108102918,-38.74566226274472,-80,800
42,29.15347721822542,612.9016786570743,756.1798561151079,1091.0,1.6786732167969762,1173.8872901678658,1567.8705035971223,1263.5515587529976,False,VKD_2_b1,Vsx1/2 RNAi,0.6397317730916521,-0.2486637381631529,-37.75479726351738,-80,800
43,29.869426751592357,672.7314225053078,757.0053078556264,1161.0,1.2655559137581056,988.8811040339702,1375.1454352441613,862.515923566879,True,VKD_2_b1,Vsx1/2 RNAi,0.6331465617634138,-0.4011904917964556,-35.687387510560974,-80,800
44,30.43512195121951,448.7356097560976,783.9785365853659,1307.0,1.537062868510614,936.5112195121951,1331.2839024390244,1252.9004878048781,False,VKD_2_b1,Vsx1/2 RNAi,0.7480767893765461,0.16621980990867002,-39.736684766743096,-80,800
45,29.71819262782402,699.0796670630202,724.79548156956,1005.0,1.3452345173031306,1245.1082045184305,2172.2247324613554,1677.703923900119,True,VKD_2_b1,Vsx1/2 RNAi,0.532308533928578,-0.46424552282923115,-35.726403971314035,-80,800
