label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,in_plane,sample,type,x_std,y_std,z_std,rotation,int_threshold
1,17.046937607326846,394.70005724098456,735.6182026330853,2192.0,1.5073300109458692,966.0841442472811,1230.3302804808243,1022.728677733257,False,VKD_4_b1,Vsx1/2 RNAi,0.7215219562257877,0.2778605109563066,-26.57796591342995,-100,800
2,17.56687898089172,676.7076433121019,718.2356687898089,2214.0,1.6455361163700086,1304.48025477707,1526.3974522292995,1008.5146496815287,False,VKD_4_b1,Vsx1/2 RNAi,0.5316809652309751,-0.6033912234134842,-30.926037719848026,-100,800
3,20.6643975493533,534.287950987066,691.9441797140912,1865.0,1.6148296063903913,1145.9897889720899,1521.3179033356025,832.5493533015657,False,VKD_4_b1,Vsx1/2 RNAi,0.49070522058937094,-0.14609113288927122,-26.857559979625456,-100,800
4,24.47363834422658,555.3350762527233,711.9581699346405,3115.0,1.8837350094695098,1369.2618736383442,1237.9908496732025,918.2283224400871,False,VKD_4_b1,Vsx1/2 RNAi,0.5587035336082324,-0.21948710168690888,-22.51355093955368,-100,800
5,23.59885659838018,504.29680800381135,746.0576464983326,2748.0,1.5817442960927268,1166.0905192949024,1207.5998094330635,898.7770366841353,True,VKD_4_b1,Vsx1/2 RNAi,0.7134739372855772,-0.07087651845823473,-21.196613531188135,-100,800
6,25.222307104660047,579.7715813598167,683.379679144385,1606.0,1.3516650644126789,1641.0190985485103,2204.059587471352,1458.8823529411766,False,VKD_4_b1,Vsx1/2 RNAi,0.43693590250458936,-0.2863341539232075,-23.33307336591846,-100,800
7,23.68162776780371,717.8108916816278,496.40514661879115,2020.0,1.5721437685903665,1885.6792339916217,958.2884500299222,1312.3273488928785,False,VKD_4_b1,Vsx1/2 RNAi,-0.3491642845695365,-0.654769677860457,-34.80723149167744,-100,800
8,24.533109807208717,460.0553227158424,731.1039396479464,1482.0,1.519895641701022,1520.1827326068735,1889.0955574182733,1423.4073763621122,True,VKD_4_b1,Vsx1/2 RNAi,0.6743790936842151,0.07357155913671054,-20.247906661799057,-100,800
9,25.73167358229599,477.83056708160444,726.4467496542185,1901.0,1.399371612996485,1524.6694329183956,1275.7143845089904,1504.2842323651453,True,VKD_4_b1,Vsx1/2 RNAi,0.6483744507923399,0.01924357560611689,-19.50806876626138,-100,800
10,26.13804905875642,654.3901882487165,673.2162007986309,2056.0,1.5214125280719153,1455.5156873930405,2027.9098687963492,1348.3502567027951,False,VKD_4_b1,Vsx1/2 RNAi,0.3649504043959908,-0.5175756496407691,-23.941643315638863,-100,800
11,26.125925925925927,703.2529914529914,506.9179487179487,2097.0,1.3801546291223525,1846.4376068376068,899.1703703703704,857.748717948718,False,VKD_4_b1,Vsx1/2 RNAi,-0.3024229539082436,-0.6127419041391529,-31.707199943800482,-100,800
12,28.57051282051282,307.9448717948718,638.998717948718,1898.0,1.5506434778142895,1857.4948717948719,1871.3480769230769,1802.024358974359,True,VKD_4_b1,Vsx1/2 RNAi,0.3817034657455025,0.584520085462606,-17.883652159647994,-100,800
13,27.140975987606506,328.281951975213,710.8799380325329,1837.0,1.6523652092028436,1287.1975213013168,1857.8528272656856,1151.992254066615,True,VKD_4_b1,Vsx1/2 RNAi,0.6524505209101628,0.495249978777929,-16.567808483121205,-100,800
14,27.20767494356659,555.869826937547,644.90820165538,1680.0,1.495470443275486,1005.9947328818661,1856.400300978179,1188.5342362678705,False,VKD_4_b1,Vsx1/2 RNAi,0.29746196572297556,-0.1976345550265437,-22.627558831618543,-100,800
15,29.40632805995004,490.3905079100749,717.8859283930059,1640.0,1.5325755364774138,1395.2681099084098,1818.3355537052457,1181.7718567860118,True,VKD_4_b1,Vsx1/2 RNAi,0.6090378153024953,-0.017376180494441118,-16.383407939870423,-100,800
16,29.731404958677686,616.021841794569,681.0448642266824,2093.0,1.5245342387552134,1302.5997638724912,1716.637544273908,1828.2762691853602,True,VKD_4_b1,Vsx1/2 RNAi,0.41138346260140213,-0.39971673692853726,-19.45843297268243,-100,800
17,29.307459066100666,637.5712553062463,695.6979987871438,1921.0,1.466840036207887,1333.6707095209217,1988.838083687083,2070.2704669496666,True,VKD_4_b1,Vsx1/2 RNAi,0.4590566417424129,-0.47267247281723146,-19.577587302010166,-100,800
18,30.121846153846153,717.3667692307693,637.6978461538462,1921.0,1.5029677909954708,1042.2873846153846,1797.3212307692309,937.4430769230769,True,VKD_4_b1,Vsx1/2 RNAi,0.19896157459558506,-0.703348308823434,-22.387645991618946,-100,800
19,30.858657243816253,755.6756183745583,488.1696113074205,1693.0,1.558811306038381,1940.2650176678446,1276.121554770318,1568.4925795053005,False,VKD_4_b1,Vsx1/2 RNAi,-0.39880145344379514,-0.7712368918265867,-28.540701520700736,-100,800
20,29.888990825688072,279.0834862385321,561.8119266055046,1348.0,1.339359613669823,2087.040366972477,1911.71376146789,1963.4706422018348,True,VKD_4_b1,Vsx1/2 RNAi,0.09405301846152936,0.7024851197021726,-19.410072627455342,-100,800
21,31.3476821192053,286.37218543046356,592.7582781456954,1831.0,1.3429961692206493,1933.8735099337748,1652.2701986754967,1700.2271523178808,True,VKD_4_b1,Vsx1/2 RNAi,0.21089627264889788,0.6686032359520817,-16.75002759617815,-100,800
22,30.72184300341297,395.768771331058,785.4300341296928,1522.0,1.4185411736628322,1332.2491467576792,1364.5631399317406,888.6075085324233,True,VKD_4_b1,Vsx1/2 RNAi,0.9122794913984662,0.2565228530462398,-10.824467444386904,-100,800
23,30.96399706098457,433.4937545922116,724.0066127847172,1736.0,1.5986574162268397,1165.0536370315945,862.1895664952241,845.2409992652462,True,VKD_4_b1,Vsx1/2 RNAi,0.6572112731149338,0.15944908064849295,-13.734649238948279,-100,800
24,31.101858224363387,514.4425326909842,731.6565726083965,1839.0,1.489430659117789,1148.3551273227804,1219.6517549896764,1236.3282863041982,True,VKD_4_b1,Vsx1/2 RNAi,0.6518349680243345,-0.09796187595790717,-14.459225925389745,-100,800
25,31.25344827586207,535.6724137931035,768.551724137931,1468.0,1.5090042477990395,1190.0448275862068,2017.0991379310344,1951.1974137931034,True,VKD_4_b1,Vsx1/2 RNAi,0.7859761341986642,-0.17776563085821595,-13.057487128269749,-100,800
