label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,sample,type,x_std,y_std,z_std,r,theta,rotation
1,3.3140562248995984,750.0618473895582,736.8586345381526,1639.0,1.473839033325596,7899.511646586346,28163.3421686747,mCherryi_1,mCherry RNAi,0.29325696297038606,-0.4929228808688927,-50.07040830008418,0.573561341806352,-1.0341095811799763,-95
2,4.283536585365853,749.7337398373984,753.327743902439,2492.0,1.441337290782357,16613.225101626016,36630.685975609755,mCherryi_1,mCherry RNAi,0.32828682328853986,-0.4972648580671818,-48.617718343380425,0.5958561717507468,-0.9872944326169548,-95
3,1.6944,757.7032,680.7856,1425.0,1.7639711928730206,5482.5432,35738.004,mCherryi_1,mCherry RNAi,0.1717935385461533,-0.4913120752317356,-53.29202591451647,0.5204810997094163,-1.2344219713497364,-95
4,2.9096722621902478,761.82414068745,767.7490007993605,1591.0,1.6166843573620144,29859.983213429256,39778.721822541964,mCherryi_1,mCherry RNAi,0.35512253166196217,-0.5261804039052138,-49.48394118503164,0.6348053480775467,-0.9771109527310119,-95
5,3.3495539334955393,760.5555555555555,795.9383617193836,1502.0,1.4767156731017648,24128.9797242498,34596.94484995945,mCherryi_1,mCherry RNAi,0.4153821513768532,-0.5322084762317223,-48.221184129487824,0.6751208735147763,-0.9080669052796981,-95
6,1.8392857142857142,765.65,755.9,671.0,1.4570906578005454,19433.601785714287,33843.06428571429,mCherryi_1,mCherry RNAi,0.3287900040462084,-0.5303337614937705,-50.877594569245616,0.6239845874225077,-1.0158236564692373,-95
7,3.5368516833484986,771.1255686988171,809.7652411282985,1366.0,1.6692366649256645,14007.693357597816,30274.98271155596,mCherryi_1,mCherry RNAi,0.4413488063283595,-0.5578285801114962,-47.55475146785411,0.7113097030384695,-0.9014500151082282,-95
8,3.61811320754717,776.0618867924528,711.9003773584906,1639.0,1.4505234699292961,11093.289056603773,35375.13283018868,mCherryi_1,mCherry RNAi,0.23187761562684095,-0.5379420594652633,-50.32740901007601,0.5857891156128782,-1.1638160754089777,-95
9,1.6690017513134852,777.0945709281962,765.8003502626971,685.0,1.4676091290089048,12626.302977232925,31404.93520140105,mCherryi_1,mCherry RNAi,0.3461569689481956,-0.5565339828020064,-50.67851953384378,0.6554042425594039,-1.014366511427506,-95
10,6.39417781274587,774.9669551534225,776.6380802517702,1583.0,1.5090659441004848,16134.426435877262,36227.35090479937,mCherryi_1,mCherry RNAi,0.36957507174516424,-0.5554276810242705,-45.65012873985277,0.6671473918883608,-0.98367927944075,-95
11,3.9519879969992497,787.6586646661665,717.5971492873218,1633.0,1.4164601940099235,9964.038259564892,34084.731432858214,mCherryi_1,mCherry RNAi,0.24023608457186763,-0.5631556123491468,-49.74739215850272,0.612256171917249,-1.1675804094836495,-95
12,1.4965421853388658,789.728907330567,748.6915629322268,917.0,1.8754717997148436,23353.04011065007,27450.727524204704,mCherryi_1,mCherry RNAi,0.3057701169749627,-0.576896952095616,-51.27040906155129,0.6529207132356071,-1.0834178105384702,-95
13,4.072222222222222,784.4222222222222,810.815873015873,1615.0,1.6019239396904927,12493.15238095238,33098.124603174605,mCherryi_1,mCherry RNAi,0.43928026262852593,-0.5850610100298632,-46.89893312248849,0.7316170682755772,-0.9267654270497029,-95
