label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,in_plane,sample,type,x_std,y_std,z_std,rotation,int_threshold
1,5.948979591836735,796.7285714285714,763.638775510204,668.0,1.2698952949277706,305.37142857142857,934.8142857142857,1416.0551020408163,False,LacZ_4_b2,LacZ OE,-0.557154025627914,1.0,-53.99044226322788,90,800
2,9.563046192259675,205.8314606741573,410.5056179775281,1081.0,1.673975047881893,687.7952559300874,1345.3920099875156,1351.6953807740324,False,LacZ_4_b2,LacZ OE,-0.09595844732060399,-0.7555832099273072,-60.98146422400313,90,800
3,11.483375959079284,779.1687979539641,471.2608695652174,570.0,1.368349607159188,803.7212276214834,851.0179028132992,977.4987212276214,False,LacZ_4_b2,LacZ OE,0.26795799083915206,0.7188261720387887,-49.845140676771294,90,800
4,14.10600706713781,288.0058892815077,375.8221436984688,1072.0,1.3549936359701278,461.2190812720848,847.0047114252061,1122.0365135453474,False,LacZ_4_b2,LacZ OE,0.08109000401346211,-0.5796567992835169,-55.28336912358701,90,800
5,14.174789915966386,712.0218487394958,297.8655462184874,851.0,1.4152788770219629,475.9579831932773,957.2957983193278,1289.5781512605042,False,LacZ_4_b2,LacZ OE,0.7039777895015746,0.4110751894711604,-48.8665351409858,90,800
6,16.036324786324787,263.4786324786325,425.5811965811966,691.0,1.4107830796173595,574.0106837606837,1050.5726495726497,1851.8119658119658,False,LacZ_4_b2,LacZ OE,-0.0852033462322247,-0.6003228950219085,-53.54822462143782,90,800
7,16.538194444444443,752.4861111111111,415.44444444444446,519.0,1.464342762952624,634.8645833333334,1435.6840277777778,1851.15625,False,LacZ_4_b2,LacZ OE,0.40353543389627844,0.6069865585573302,-45.42164505034884,90,800
8,17.060643564356436,770.1893564356436,623.7202970297029,1144.0,1.4861303239705934,934.5024752475248,1036.819306930693,1518.9368811881188,False,LacZ_4_b2,LacZ OE,-0.17936949134615388,0.8200057556803868,-43.82884814252549,90,800
9,17.201277955271564,788.5047923322684,489.3514376996805,557.0,1.4768443952252448,503.6261980830671,1524.884984025559,1862.8019169329073,False,LacZ_4_b2,LacZ OE,0.2246349823026217,0.7564749797122137,-43.912797888545974,90,800
10,18.343832020997375,248.5249343832021,349.7821522309711,984.0,1.4942324887266913,611.4002624671916,1051.1496062992126,1046.6574803149606,False,LacZ_4_b2,LacZ OE,0.11892886829442118,-0.6991092164690579,-51.76395601019985,90,800
11,19.452353616532722,252.11595866819746,340.31687715269805,1441.0,1.2713710443209196,538.8909299655568,1011.1515499425947,801.3122847301952,False,LacZ_4_b2,LacZ OE,0.14954609474536884,-0.6979113333402744,-50.63534046760449,90,800
12,21.32834757834758,431.03418803418805,315.83903133903135,2161.0,1.5086969655529674,307.34757834757835,919.2934472934473,1026.8262108262109,False,LacZ_4_b2,LacZ OE,0.3881450311392316,-0.2731076535541126,-46.048910345223604,90,800
13,19.303636363636365,757.4927272727273,426.6090909090909,815.0,1.4208642049996243,602.4072727272727,1135.490909090909,2076.498181818182,False,LacZ_4_b2,LacZ OE,0.3760917413375555,0.6283766796340682,-42.535594785962026,90,800
14,17.926020408163264,240.9655612244898,399.5905612244898,1073.0,1.4238625907151254,779.6900510204082,980.1517857142857,895.1900510204082,False,LacZ_4_b2,LacZ OE,-0.0315515728234077,-0.6774583508720404,-52.110539214930384,90,800
15,19.64244521337947,453.0738177623991,274.39907727797004,1096.0,1.4099210405515854,241.50288350634372,840.9296424452134,1308.757785467128,False,LacZ_4_b2,LacZ OE,0.5281523793399039,-0.2518837748112829,-47.54698167000196,90,800
