label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,x_std,y_std,z_std,rotation,D_threshold,kn_threshold,ey_threshold,type,with_ey_kn
27,3.88,313.00363636363636,684.5272727272727,815.0,1.4377847701298456,11985.72,18416.82909090909,25544.034545454546,Vsx1_1,-0.27944987743924454,0.7112784715480838,-38.19082123823877,130,22500,30000,25000,Vsx OE,False
28,4.2831541218638,320.2559139784946,680.3297491039426,2325.0,1.6055879298086646,11427.005017921147,18211.59139784946,27676.073835125448,Vsx1_1,-0.2754713307632858,0.6907295884279578,-38.29180854017407,130,22500,30000,25000,Vsx OE,False
29,1.8344709897610922,320.67235494880543,700.4744027303755,746.0,1.605363076828468,11248.503412969283,18736.94880546075,26500.61262798635,Vsx1_1,-0.3194237281263529,0.7056675076639576,-40.098340402155856,130,22500,30000,25000,Vsx OE,False
30,2.7183271832718328,327.74415744157443,645.8265682656827,1166.0,1.506804762926998,11296.39606396064,17847.10455104551,26339.758917589177,Vsx1_1,-0.20617784704383157,0.6464800716631107,-41.36013982885473,130,22500,30000,25000,Vsx OE,False
31,3.953648068669528,330.73562231759655,765.7330472103005,1987.0,1.7441325394623761,13278.515021459227,26693.266952789698,27978.990557939913,Vsx1_1,-0.4675997760071986,0.7318735053940422,-36.35707370798273,130,22500,30000,25000,Vsx OE,False
32,5.795669824086604,325.28822733423544,775.8362652232747,1084.0,1.6004118174756738,23062.545331529094,20454.408660351826,27327.11637347767,Vsx1_1,-0.485546162835618,0.7523686402456968,-33.91298047111597,130,22500,30000,25000,Vsx OE,False
33,4.932282545242265,330.11908931698775,811.2994746059545,2489.0,1.5148827377091623,13096.754816112085,23503.611208406306,28429.834208990076,Vsx1_1,-0.565689900921411,0.7684196185864431,-33.85903452757349,130,22500,30000,25000,Vsx OE,False
34,1.9480337078651686,328.92977528089887,741.3384831460675,913.0,1.629657662162598,11480.651685393259,19200.751404494382,28167.648876404495,Vsx1_1,-0.41363172580911967,0.7176029053408179,-39.06560038627504,130,22500,30000,25000,Vsx OE,False
35,4.021138211382114,329.1859078590786,785.4113821138211,2460.0,1.331881611626349,14118.228184281843,18523.67859078591,32087.139837398376,Vsx1_1,-0.5090683278975141,0.7507600273452206,-35.56797108522777,130,22500,30000,25000,Vsx OE,False
36,2.3945054945054944,332.9879120879121,755.0417582417582,1363.0,1.9178069085152119,12111.643956043956,18942.594505494504,27211.732967032967,Vsx1_1,-0.4461180385473389,0.7184803992519961,-38.37671718937398,130,22500,30000,25000,Vsx OE,False
37,5.882882882882883,333.35070785070786,622.9800514800514,2093.0,1.7111449872090898,11682.433075933075,18930.400900900902,24735.4703989704,Vsx1_1,-0.16060400873475644,0.6150270500236847,-39.23147042773576,130,22500,30000,25000,Vsx OE,False
38,4.800367985280589,332.12327506899726,691.7902483900644,1375.0,1.6000109899657988,11642.857405703771,24808.280588776448,27698.666053357865,Vsx1_1,-0.30861167607818984,0.6712932140361876,-37.99992021141826,130,22500,30000,25000,Vsx OE,False
39,3.1338155515370705,337.997287522604,799.7386980108499,1401.0,1.3834266780176894,17257.078661844484,25837.555153707053,30082.773960216997,Vsx1_1,-0.5463036789000514,0.7410111395943373,-36.43004025212046,130,22500,30000,25000,Vsx OE,False
40,3.0420673076923075,340.9795673076923,844.9879807692307,1043.0,1.5002932803092492,9311.51201923077,16711.575721153848,26462.896634615383,Vsx1_1,-0.6462836216441167,0.7689101626290706,-35.19251166070638,130,22500,30000,25000,Vsx OE,False
41,1.6299435028248588,341.93926553672316,646.5677966101695,868.0,1.629178401136348,11580.805084745763,18546.768361581922,27786.072033898305,Vsx1_1,-0.2178307826773883,0.6134562917244939,-43.1389905099226,130,22500,30000,25000,Vsx OE,False
42,5.37627365356623,342.66885007278023,789.1426491994177,1724.0,1.3715262935010528,11654.154294032023,19991.512372634643,29059.98034934498,Vsx1_1,-0.5266004154285282,0.721385247336622,-34.773995785107765,130,22500,30000,25000,Vsx OE,False
43,4.010198604401503,345.8808373590982,732.2673107890499,2601.0,1.870236308380236,11783.455179817498,19311.553408480944,26834.97208803006,Vsx1_1,-0.4058934419036925,0.6699819865870886,-38.159620318225336,130,22500,30000,25000,Vsx OE,False
44,2.74014598540146,345.86277372262776,757.0116788321168,883.0,1.4370371940066817,11383.87591240876,18933.90802919708,27551.956204379563,Vsx1_1,-0.4594470252651648,0.6893370745482275,-38.61730542639652,130,22500,30000,25000,Vsx OE,False
45,3.964149504195271,353.9412662090008,849.771167048055,1968.0,1.4880438332345187,9259.101449275362,22747.2585812357,26003.116704805492,Vsx1_1,-0.6657386129220333,0.7416510488898902,-34.77009073670956,130,22500,30000,25000,Vsx OE,False
46,1.4184168012924072,353.1050080775444,667.5896607431341,838.0,1.7900046603162136,11642.667205169628,19704.840064620355,25483.89337641357,Vsx1_1,-0.27118300451998834,0.6031852974038825,-43.22643775094377,130,22500,30000,25000,Vsx OE,False
47,3.323809523809524,350.3333333333333,868.8904761904762,654.0,1.4526145923858647,8228.869047619048,16782.183333333334,23798.22380952381,Vsx1_1,-0.7045713101264087,0.765102840099382,-34.60190253715728,130,22500,30000,25000,Vsx OE,False
48,3.096014492753623,360.11141304347825,823.401268115942,1562.0,1.60212315756154,11766.442934782608,16827.189311594204,26232.3125,Vsx1_1,-0.6130831473291507,0.7067214267405957,-36.81048097087633,130,22500,30000,25000,Vsx OE,False
49,2.4910979228486645,365.47032640949556,887.1691394658753,805.0,1.4598974827924247,7919.127596439169,15595.525222551929,26002.08753709199,Vsx1_1,-0.7548126957129205,0.7433583924884068,-35.599612926438,130,22500,30000,25000,Vsx OE,False
50,2.8975741239892185,365.9258760107817,838.1239892183288,1120.0,1.7422134317036055,9926.954177897574,17086.49730458221,24993.156334231808,Vsx1_1,-0.6490358795313707,0.7043043927786223,-36.82067825767032,130,22500,30000,25000,Vsx OE,False
51,4.65924276169265,374.4115812917595,674.1946547884187,3340.0,1.780707497131097,11789.455233853007,19148.361692650335,28297.518930957685,Vsx1_1,-0.30038232789784536,0.5571531578299529,-40.851210032576816,130,22500,30000,25000,Vsx OE,False
52,4.245166279969064,379.5970610982212,860.3781902552204,1897.0,1.4606734826255365,8564.091260634184,16301.535189481825,26098.20959010054,Vsx1_1,-0.7067657752284113,0.6888011729922483,-35.4380254345901,130,22500,30000,25000,Vsx OE,False
53,2.944105691056911,379.9420731707317,828.3252032520326,1255.0,1.4645028530540587,10654.144308943089,17330.58130081301,27765.463414634145,Vsx1_1,-0.6377248344300481,0.6633934579027279,-37.80230082312823,130,22500,30000,25000,Vsx OE,False
54,2.9318181818181817,389.67786561264825,870.7183794466404,1510.0,1.4919065991980691,8761.91699604743,15664.97233201581,25949.207509881424,Vsx1_1,-0.7362873182712388,0.6730136689615527,-36.91982020348416,130,22500,30000,25000,Vsx OE,False
55,8.79896907216495,390.132087628866,832.3505154639175,2903.0,1.8240248175886002,14139.220360824742,18629.984536082473,26559.00257731959,Vsx1_1,-0.6534122025375861,0.6414212291712067,-32.34087833698176,130,22500,30000,25000,Vsx OE,False
56,2.293007769145394,395.32963374028856,792.9289678135406,1160.0,1.5909121765673753,9759.006659267481,16836.984461709213,25957.022197558268,Vsx1_1,-0.572038683904746,0.5995364246265431,-40.38657839442316,130,22500,30000,25000,Vsx OE,False
