label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,in_plane,sample,type,x_std,y_std,z_std,rotation,int_threshold
1,6.693121693121693,244.09259259259258,597.7804232804233,592.0,1.7330160777163819,842.0952380952381,1099.7698412698412,1292.7645502645503,False,LacZ_3_b2,LacZ OE,0.16135697241929958,0.7455118334324486,-54.98563550059267,-90,800
2,8.477977161500815,271.2251223491028,639.1060358890702,915.0,1.4099939826249,611.5513866231647,893.7455138662317,1528.257748776509,False,LacZ_3_b2,LacZ OE,0.28847193976950414,0.6672058613979417,-53.82916298138437,-90,800
3,9.535433070866143,243.70603674540683,595.3097112860893,624.0,1.823059801622199,689.7664041994751,1010.7742782152231,1184.7926509186352,False,LacZ_3_b2,LacZ OE,0.15390771562058592,0.746638421769638,-52.10402021590884,-90,800
4,9.541721854304635,287.9748344370861,561.5298013245033,1000.0,1.3969879756219892,798.9059602649006,976.0622516556291,879.6516556291391,False,LacZ_3_b2,LacZ OE,0.05021067933784917,0.6186776133806549,-51.46958239819499,-90,800
5,10.1251629726206,757.4276401564537,705.4380704041721,1048.0,1.6053285067658662,574.5280312907431,826.8904823989569,1121.4432855280313,False,LacZ_3_b2,LacZ OE,0.4933385858136978,-0.7373795979885234,-52.4263292945671,-90,800
6,10.534965034965035,244.32167832167832,550.7744755244755,832.0,1.3373495101973485,617.9527972027972,1099.9353146853148,1911.1031468531469,False,LacZ_3_b2,LacZ OE,0.017127184249551286,0.7447837649752289,-50.37615866251212,-90,800
7,10.66805411030177,298.1092611862643,623.3558792924038,1322.0,1.6986656810238119,822.6462018730489,1082.3527575442247,1405.4495317377732,False,LacZ_3_b2,LacZ OE,0.24024473915464029,0.5895157689681068,-51.33572402449505,-90,800
8,12.834456207892204,286.59961501443695,605.7276227141482,1311.0,1.4151742398240779,575.4687199230029,1030.5668912415783,1181.497593840231,False,LacZ_3_b2,LacZ OE,0.18616840112661515,0.6227477316150756,-48.90155673314861,-90,800
9,12.319391634980988,286.148288973384,621.7756653992395,709.0,1.4617770731300226,832.7794676806084,876.8326996197719,1450.0019011406844,False,LacZ_3_b2,LacZ OE,0.23544832365421464,0.6240782817166675,-49.67944636089228,-90,800
10,15.513328776486672,290.77785372522214,635.7901572112098,2465.0,1.6596590669083662,528.6343130553657,844.1483253588517,1388.0287081339713,False,LacZ_3_b2,LacZ OE,0.2786766873553044,0.6107442640356442,-46.70684959449082,-90,800
11,13.822299651567944,265.6062717770035,522.3310104529617,783.0,1.604526072219755,872.0435540069686,1214.0627177700349,1064.7369337979094,False,LacZ_3_b2,LacZ OE,-0.0700557230483474,0.6832540487020269,-46.587953977250216,-90,800
12,14.484423676012462,313.86915887850466,646.8520249221184,916.0,1.5052522506456874,831.9828660436137,837.619937694704,1548.1433021806854,False,LacZ_3_b2,LacZ OE,0.31265866857031743,0.5440448618862084,-47.87643110189487,-90,800
13,15.507692307692308,776.5365384615385,464.53846153846155,775.0,1.518668491988941,765.5480769230769,1070.3423076923077,1427.0307692307692,False,LacZ_3_b2,LacZ OE,-0.24650279290905208,-0.7929992371071535,-43.0768853258407,-90,800
14,15.607068607068607,298.57172557172555,618.2910602910603,706.0,1.6946300850431406,933.6403326403326,884.1912681912681,869.014553014553,False,LacZ_3_b2,LacZ OE,0.22493217956508516,0.5881952094609526,-46.31385285924704,-90,800
15,17.106060606060606,287.465564738292,620.0743801652893,973.0,1.6643901299306199,750.8636363636364,1405.9118457300276,1692.0537190082644,False,LacZ_3_b2,LacZ OE,0.2304641091814852,0.6202933920291136,-44.86336177451824,-90,800
16,19.50866462793068,307.1743119266055,641.6554536187564,1335.0,1.306105686587007,528.6962283384302,804.5626911314985,1508.5993883792048,False,LacZ_3_b2,LacZ OE,0.29693111956614326,0.5634030710089666,-42.77954799263453,-90,800
17,19.191689008042896,285.4450402144772,605.038873994638,1112.0,1.843948306608895,680.7345844504022,1227.3217158176944,2402.8404825737266,False,LacZ_3_b2,LacZ OE,0.18436897118585893,0.6261141227532743,-42.53592500482746,-90,800
