label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,x_std,y_std,z_std,rotation,D_threshold,kn_threshold,ey_threshold,type,with_ey_kn
1,69.36786654960491,731.4486391571554,389.4986830553117,2398.0,1.452455039144512,6922.15188762072,16843.977172958737,17425.11852502195,Vsx1_2,0.3604417826686468,0.456792827215978,-39.556087583663924,80,22500,30000,25000,Vsx OE,False
2,68.15424164524421,723.5912596401029,419.07712082262213,644.0,1.6567067221078673,7824.892030848329,13209.061696658098,19240.768637532135,Vsx1_2,0.24234775355163296,0.45221339312777786,-41.68543554947009,80,22500,30000,25000,Vsx OE,False
3,69.65930018416206,759.451197053407,418.90055248618785,995.0,1.5775249005393064,7933.697974217312,15802.79926335175,22603.121546961327,Vsx1_2,0.2695062149267422,0.5313514337010152,-40.02740969988783,80,22500,30000,25000,Vsx OE,False
4,72.7089552238806,726.0149253731344,388.8258706467662,728.0,1.4645374282809467,6904.850746268657,14069.68407960199,18259.05223880597,Vsx1_2,0.3585684233931712,0.4445125384090969,-36.21889938130856,80,22500,30000,25000,Vsx OE,False
5,72.3215859030837,762.9471365638766,386.93392070484583,559.0,1.5204823783206305,7972.299559471366,19386.348017621145,16462.281938325992,Vsx1_2,0.3932631139434608,0.5252707007055166,-36.39675026234478,80,22500,30000,25000,Vsx OE,False
6,78.39840637450199,887.4820717131474,372.8247011952191,1014.0,1.7884573412380036,7440.446215139442,14566.314741035856,23519.735059760955,Vsx1_2,0.5387630410543878,0.7942740845191729,-29.38584608943954,80,22500,30000,25000,Vsx OE,False
7,76.72773109243697,152.52857142857144,367.6504201680672,2452.0,1.4584584410279884,9780.359663865545,15537.337815126051,21149.488235294117,Vsx1_2,0.01215580979701536,-0.8313584638385262,-33.94215453083264,80,22500,30000,25000,Vsx OE,False
8,77.55389718076285,762.1194029850747,388.0845771144279,1488.0,1.9232205362525783,7517.276948590382,20293.64510779436,18596.344941956882,Vsx1_2,0.3876649318938852,0.5239593116813248,-31.204624805612667,80,22500,30000,25000,Vsx OE,False
9,78.6804979253112,798.4605809128631,465.46473029045643,719.0,1.8875992292444075,10855.157676348548,17315.327800829877,25505.560165975105,Vsx1_2,0.12052210564748123,0.6376710346191787,-32.24018418986101,80,22500,30000,25000,Vsx OE,False
10,83.50418760469012,155.70435510887773,345.2110552763819,2030.0,1.524313747490944,9526.75376884422,13476.154103852596,21749.749581239532,Vsx1_2,0.09899258179802373,-0.8340141299042434,-26.485183035186168,80,22500,30000,25000,Vsx OE,False
11,82.32091690544412,827.0744985673352,460.84240687679085,815.0,1.2971520816077076,9495.441260744985,15810.183381088826,23004.507163323782,Vsx1_2,0.15893694438955408,0.6988908717131683,-28.344917980043476,80,22500,30000,25000,Vsx OE,False
12,81.50508474576272,805.3627118644068,364.7932203389831,509.0,1.4470113819861499,12227.227118644068,19544.32881355932,20488.86440677966,Vsx1_2,0.5078603484890627,0.6094273632093783,-26.380394160547596,80,22500,30000,25000,Vsx OE,False
13,82.61137440758294,859.7381516587677,364.54857819905214,1113.0,1.3650317531007252,8661.060426540284,22950.652843601896,21104.081753554503,Vsx1_2,0.5490909238671964,0.729432160124299,-25.042310770953506,80,22500,30000,25000,Vsx OE,False
14,94.74019754564502,816.816222687818,456.57557617479796,5263.0,1.5491277610442602,10091.437593534869,23062.601316970966,23048.968272972164,Vsx1_2,0.16607395907330713,0.674435206030362,-15.846246659185667,80,22500,30000,25000,Vsx OE,False
15,83.00326086956522,828.6391304347826,371.33586956521737,1152.0,1.3461450842301528,8967.935869565217,21935.285869565218,21327.63152173913,Vsx1_2,0.5001313645905281,0.6636738333688101,-24.982075236646025,80,22500,30000,25000,Vsx OE,False
16,83.17725752508362,713.5785953177258,389.87290969899664,672.0,1.3530553504329705,6935.411371237458,11994.190635451505,16489.69230769231,Vsx1_2,0.3441217237176071,0.41753466567566777,-25.83810201460409,80,22500,30000,25000,Vsx OE,False
17,84.17715617715618,799.8531468531469,360.64801864801865,1121.0,1.9974901668015164,8684.911421911422,20601.158508158507,20944.545454545456,Vsx1_2,0.519203170594535,0.5954765939362285,-23.608482288309702,80,22500,30000,25000,Vsx OE,False
18,86.87913669064748,800.1827338129497,387.96043165467626,3360.0,1.5259708853598286,16836.34748201439,14668.397841726619,17368.928057553956,Vsx1_2,0.4153501628528231,0.6080164389528262,-21.72242582216559,80,22500,30000,25000,Vsx OE,False
19,87.15833333333333,809.7692708333333,468.6166666666667,2877.0,1.2385279402374214,10412.8828125,25624.719791666666,23530.0703125,Vsx1_2,0.11596459621112754,0.6640439876982771,-23.813590481461233,80,22500,30000,25000,Vsx OE,False
20,85.88269073010665,148.37899917965547,374.74487284659557,1675.0,1.678790050321443,10558.571780147662,15554.063166529942,19897.872846595572,Vsx1_2,-0.01895539068771257,-0.8374241399717548,-25.020502971264804,80,22500,30000,25000,Vsx OE,False
21,87.13405124396584,183.03564797623469,364.2150018566654,4206.0,1.4407134759343085,11083.387671741551,15068.526550315633,20894.207946528037,Vsx1_2,0.0466788913820575,-0.7654185664019193,-23.31169571249525,80,22500,30000,25000,Vsx OE,False
22,95.51711711711712,736.6162162162162,419.7315315315315,1625.0,1.7924747142235393,8529.825225225226,13717.135135135135,17464.9981981982,Vsx1_2,0.24635335050879226,0.48136936777417483,-14.300670991337043,80,22500,30000,25000,Vsx OE,False
23,85.35950413223141,760.055785123967,417.7830578512397,1293.0,1.739008614854152,7778.390495867769,14198.119834710744,18658.956611570247,Vsx1_2,0.27237040507038657,0.5322632348744332,-24.29845900193574,80,22500,30000,25000,Vsx OE,False
24,84.46272493573265,763.146529562982,298.00771208226223,1205.0,1.5645588731685223,7271.227506426735,16212.458868894602,18636.206940874035,Vsx1_2,0.7299004481490223,0.4873320669523109,-21.603314904406844,80,22500,30000,25000,Vsx OE,False
25,84.77839335180056,798.5069252077562,424.42105263157896,775.0,1.8226592004069397,10067.12188365651,21444.797783933518,20156.265927977838,Vsx1_2,0.27580463583691306,0.6200615032017234,-24.918541672748745,80,22500,30000,25000,Vsx OE,False
26,86.45833333333333,853.1849593495934,391.8191056910569,1419.0,1.3761053342679463,9596.303861788618,24250.608739837397,21801.193089430893,Vsx1_2,0.4401459102750813,0.7267553078384885,-22.03902406897616,80,22500,30000,25000,Vsx OE,False
27,85.41618497109826,810.7052023121387,391.6878612716763,724.0,1.8065459786075155,14663.635838150289,14476.79479768786,18664.040462427747,Vsx1_2,0.40918101677275565,0.6328639241954788,-23.252543966940564,80,22500,30000,25000,Vsx OE,False
28,86.07617504051863,841.4100486223663,375.45705024311184,1022.0,1.2934682370273414,10238.346839546191,22988.7698541329,19874.755267423014,Vsx1_2,0.49360865651041164,0.693675023384893,-21.98085286405906,80,22500,30000,25000,Vsx OE,False
29,87.87136929460581,846.9834024896265,395.6680497925311,589.0,1.7267868236919734,9113.161825726142,19681.278008298756,19388.452282157676,Vsx1_2,0.42074460811885483,0.7147255502121377,-20.767292358798912,80,22500,30000,25000,Vsx OE,False
30,86.96903765690377,202.28535564853556,329.58912133891215,1741.0,1.7646994168311096,10531.748117154812,13876.866108786611,19590.51129707113,Vsx1_2,0.19258383446040894,-0.7378615608705501,-22.362410415161904,80,22500,30000,25000,Vsx OE,False
31,85.9,753.9769230769231,391.7,552.0,1.8670692487523242,6881.284615384616,14064.238461538462,16806.953846153847,Vsx1_2,0.3668989916754246,0.507567629821982,-23.00403459186151,80,22500,30000,25000,Vsx OE,False
