"","p_value","n_ctrl","n_exp","fc","p0","p1","phi"
"Vsx1-GOF-Mi4",0.00217261838056461,4,4,2.53626690281895,0.392824287028519,0.996307237813884,13.3081141917651
"Vsx1-LOF-Mi4",0.0369808386941357,3,4,0.211427737226278,0.306487695749441,0.0648000000000001,23.3328936043185
"Vsx1-GOF-Tm5e",0.000874778486132526,6,6,2.58028250148367,0.317213463996592,0.818500350385424,92.4911136789972
"Vsx1-LOF-Tm5e",0.00250222661401409,4,5,0.225934903047091,0.124794745484401,0.0281954887218045,2.87262748862289
"Bi-GOF-TE (Whole OL)",0.0021595303799833,9,10,1.89195639748671,0.143687514531504,0.271850512356844,12.297550636351
"Bi-GOF-TE (Anterior)",0.000630730454989008,9,10,173.45894099544,0.00122374057339537,0.212268743914314,9.64976038732298
"Bi-LOF-TE",4.31991492458917e-06,7,5,0.194763832658759,0.868902439024382,0.169230769230933,1.85516173837937
