label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,rotation,int_threshold
12,52.30347826086957,149.05478260869566,536.2982608695652,1328.0,1.2607850385652324,28349.203478260868,LacZ_1,LacZ OE,-0.044652877374569355,-0.6727355563687027,-46.80626255231947,100,2500
13,52.29599456890699,177.87915818058383,428.4704684317719,1857.0,1.5647931634371837,38495.25322471147,LacZ_1,LacZ OE,0.19152821045903012,-0.6062280454563534,-48.82046166631302,100,2500
14,52.01764705882353,213.5747899159664,445.82689075630253,1415.0,1.454714511113748,29262.894117647058,LacZ_1,LacZ OE,0.15057852121373405,-0.5341460458447165,-47.93471448407641,100,2500
15,50.922063666300765,252.74423710208563,535.2272228320527,1186.0,1.5675662084743,34274.88254665203,LacZ_1,LacZ OE,-0.04986239585260677,-0.4598150032582061,-46.05107498339122,100,2500
16,54.28247978436658,656.6237196765499,243.73261455525608,2582.0,1.8246777519674895,49216.52129380054,LacZ_1,LacZ OE,0.565222256557796,0.3887653356424594,-41.321386210445084,100,2500
17,52.029895366218234,839.821375186846,316.45814648729447,1694.0,1.4019433617319028,14692.307922272048,LacZ_1,LacZ OE,0.3911458528422296,0.7598547614253996,-37.99460222692642,100,2500
18,55.442366246194,904.2005219660722,292.42931709438886,2984.0,1.1628989771838818,17905.16398434102,LacZ_1,LacZ OE,0.4397730405739153,0.8934714826885928,-33.8227496212819,100,2500
19,52.781220657277,172.93145539906104,506.37464788732393,1280.0,1.3990504018105658,26620.54835680751,LacZ_1,LacZ OE,0.019768339268864343,-0.621714860453067,-46.554627066229784,100,2500
20,53.33956834532374,226.6158273381295,477.41007194244605,926.0,1.4896226171464466,23713.258992805757,LacZ_1,LacZ OE,0.07991870700905523,-0.5095917735768862,-45.57777995282264,100,2500
21,53.63530465949821,227.8709677419355,551.991935483871,1303.0,1.4076250805081478,27942.369175627242,LacZ_1,LacZ OE,-0.0849589529526007,-0.5121147775028678,-43.45236256231108,100,2500
22,52.82664941785252,224.41138421733507,428.6507115135834,1135.0,1.695247211879797,27799.66235446313,LacZ_1,LacZ OE,0.18779325252993484,-0.5107691247620278,-47.31557794794875,100,2500
23,52.835486649440135,657.3832902670111,259.1963824289406,1515.0,1.4328141729669603,53562.798449612405,LacZ_1,LacZ OE,0.5309175642256683,0.38932901698746214,-42.37783463968812,100,2500
24,51.834545454545456,810.1963636363637,377.8636363636364,1440.0,1.5694221118297638,16163.811818181819,LacZ_1,LacZ OE,0.2575906310154479,0.6948786269176306,-37.32248756369921,100,2500
25,53.2818287037037,838.1938657407408,342.09664351851853,2234.0,1.35681464253246,16087.358217592593,LacZ_1,LacZ OE,0.33467915693974093,0.754714680679091,-36.15720570173049,100,2500
26,53.01653439153439,876.8690476190476,355.4007936507937,1892.0,1.3948087964709546,14255.44708994709,LacZ_1,LacZ OE,0.3024689467078172,0.8331871239670952,-35.294290811382595,100,2500
27,52.63516653756778,883.3168086754454,325.0209140201394,1526.0,1.328569423335992,14873.80945003873,LacZ_1,LacZ OE,0.3691118417262713,0.8485068265881339,-36.27573341014826,100,2500
