label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,r,theta,rotation
1,2.9115384615384614,303.9546153846154,387.0223076923077,1555.0,1.496044347566216,3314.8392307692307,Ezi_2_b2,E(z) RNAi,0.18929682641650003,-0.6443576595787661,-59.47374565414313,0.671587732131241,-1.2850593448444865,100
2,3.5064059339177343,317.5198921105866,398.43020903573836,1832.0,1.4516506218221923,3229.3452461227243,Ezi_2_b2,E(z) RNAi,0.16491502266855051,-0.6086401636613501,-59.02717125751789,0.630586880234186,-1.3061931764365098,100
3,4.852913968547641,284.163737280296,470.0518038852914,1258.0,1.2573036651079272,3154.3219241443107,Ezi_2_b2,E(z) RNAi,-0.0010323205063746954,-0.6843099252631033,-57.416841690368656,0.6843107039198071,-1.5723048826190427,100
4,4.903920061491161,302.2836279784781,360.00307455803227,1483.0,1.2777172485906274,3035.0176787086857,Ezi_2_b2,E(z) RNAi,0.2503489448542813,-0.6518101387862294,-57.437330957314074,0.6982342380707033,-1.2040866865127702,100
5,5.222312703583062,317.3257328990228,419.2638436482085,1376.0,1.3528554654295333,3113.8395765472314,Ezi_2_b2,E(z) RNAi,0.11767481739807173,-0.6065613281803619,-57.33043902373954,0.6178705426653662,-1.3791735478359202,100
6,5.67109634551495,285.093853820598,332.5672757475083,1431.0,1.3890654725326956,1957.4734219269103,Ezi_2_b2,E(z) RNAi,0.310660794228927,-0.6986057925952249,-56.46920665768441,0.7645653552957721,-1.1523696123060692,100
7,5.954672245467225,289.6910739191074,394.6827057182706,1715.0,1.5447204769486402,3274.721059972106,Ezi_2_b2,E(z) RNAi,0.17038229920702586,-0.6794364573688099,-56.29472738923765,0.7004741447654945,-1.3250930631656348,100
8,4.297041420118343,303.65917159763313,404.14674556213015,1042.0,1.5723822728548338,2562.6118343195267,Ezi_2_b2,E(z) RNAi,0.15045248573201886,-0.6429932715304785,-58.102632731162984,0.6603607330061434,-1.3409439495811961,100
9,7.323828920570265,304.3082145281738,419.081466395112,1769.0,1.277348368145001,3251.046843177189,Ezi_2_b2,E(z) RNAi,0.11667153074049641,-0.6394628522627143,-55.09762824399314,0.6500192193383951,-1.3903289744663205,100
10,6.992448080553808,318.2227816236627,357.82252989301446,1854.0,1.3476071931201565,3053.9490245437382,Ezi_2_b2,E(z) RNAi,0.257019903325862,-0.6116962456330347,-55.507376220778575,0.6634994556344304,-1.1730189835532698,100
11,7.472222222222222,321.3464912280702,373.47295321637426,1582.0,1.3115949656646935,2991.784356725146,Ezi_2_b2,E(z) RNAi,0.22188875890194515,-0.6018836110302341,-55.074922251538204,0.6414814904218513,-1.2175979830188703,100
12,7.550861589772095,339.37242912729295,335.396331295164,2130.0,1.4215095413560481,3005.7237354085605,Ezi_2_b2,E(z) RNAi,0.3101431864094879,-0.5608942154150292,-55.13953017067794,0.6409298845913424,-1.0656955271411555,100
13,8.350479511769834,277.6573670444638,368.3705318221447,1380.0,1.3468408738704283,2594.9564080209243,Ezi_2_b2,E(z) RNAi,0.22870574740663518,-0.7130097060098186,-53.751164425908435,0.7487918000092119,-1.2604031705097638,100
14,10.215732087227414,284.97429906542055,376.48208722741435,1527.0,1.3717315664431706,3177.447819314642,Ezi_2_b2,E(z) RNAi,0.21111445192208977,-0.6934671408209379,-51.967956460882554,0.7248903277108413,-1.2752773140718123,100
15,9.231135282121006,331.47722637661457,360.61794697484703,1768.0,1.4236537163848928,3164.31135282121,Ezi_2_b2,E(z) RNAi,0.25212158661478834,-0.5777672661897862,-53.40523392895899,0.6303810818208122,-1.1593328698248522,100
16,10.216715976331361,325.70414201183434,304.14940828402365,1552.0,1.3528776300348078,2222.257396449704,Ezi_2_b2,E(z) RNAi,0.3794727928058905,-0.599194235779904,-52.30447268476443,0.7092484280361611,-1.006247051425102,100
17,10.184996358339403,232.02403495994173,407.38601602330664,1625.0,1.284461049995564,2210.4268026219956,Ezi_2_b2,E(z) RNAi,0.13532217434155136,-0.8236807028872908,-51.49616086027082,0.8347227031640069,-1.4079613573975294,100
18,9.89900426742532,272.0867709815078,423.69203413940255,1742.0,1.5706477568918247,2153.4018492176388,Ezi_2_b2,E(z) RNAi,0.10271885988603802,-0.7203554657240375,-52.20244596619578,0.7276421930968424,-1.4291564914749577,100
19,10.875,296.1382450331126,382.8824503311258,1422.0,1.297705010281443,3202.78642384106,Ezi_2_b2,E(z) RNAi,0.19782072688910768,-0.6644303286237638,-51.42772120613075,0.6932537065043488,-1.2814235588321394,100
