label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,r,theta,rotation
19,8.763018065887353,633.8103081827843,332.9909670563231,2437.0,1.3240219336130064,1856.124335812965,mCherryi_2_b2,mCherry RNAi,0.40550968017815925,0.33399557763112275,-70.6866700891438,0.5253485953110947,0.6889926098519841,70
20,5.257995735607676,684.9623312011372,331.81592039800995,1692.0,1.3666426690458147,1964.232409381663,mCherryi_2_b2,mCherry RNAi,0.4150845816457369,0.46619265674637544,-72.98943848338679,0.6242041357795223,0.8433264661995138,70
21,7.364599894011659,682.9501854795973,348.33916269210386,2255.0,1.2568560113623435,2573.5384207737147,mCherryi_2_b2,mCherry RNAi,0.37019764085187634,0.46280803970212814,-71.37599554015176,0.5926529970439882,0.8961196705867422,70
22,5.193242442205098,705.0462359217546,315.72258446947245,1953.0,1.480236517141869,2286.8263189093063,mCherryi_2_b2,mCherry RNAi,0.4608316659471938,0.5161972988033983,-72.16113454422789,0.6919721639138318,0.8420049638418229,70
23,5.0506117908787544,726.1618464961068,353.2925472747497,2055.0,1.3663477853926962,2350.408787541713,mCherryi_2_b2,mCherry RNAi,0.3622286767697953,0.5751428074802378,-72.835216368643,0.6797049825259829,1.0087481182469873,70
24,6.051499348109518,763.5365058670144,356.58018252933505,1812.0,1.6074533876298416,1910.1792698826598,mCherryi_2_b2,mCherry RNAi,0.35779296508061553,0.6720192148805841,-71.07000488790105,0.7613314856420266,1.0815544069048786,70
25,9.907303370786517,658.8675093632959,314.4058988764045,2667.0,1.4716285810913987,2369.8305243445693,mCherryi_2_b2,mCherry RNAi,0.4584717730291692,0.3964887304562248,-68.46924902448146,0.6061350344958613,0.7130266449122193,70
26,7.58656330749354,717.8105081826012,320.42894056847547,1364.0,1.3916556200258055,2041.6210163652024,mCherryi_2_b2,mCherry RNAi,0.4495138393957787,0.5495868777628743,-69.60476611844707,0.710005935198769,0.8852283116318042,70
27,8.82642089093702,671.804915514593,335.66129032258067,1516.0,1.3420661450460483,2424.8125960061443,mCherryi_2_b2,mCherry RNAi,0.40288121021757095,0.4324537153812811,-69.82753878557273,0.5910410184525678,0.8207853585635422,70
28,9.689470154258887,753.560697518444,434.34272300469485,1865.0,1.370554391817351,2987.8443997317236,mCherryi_2_b2,mCherry RNAi,0.14695640716634606,0.6551336048046348,-69.76061212571408,0.6714136025964594,1.350133809230282,70
29,11.418296892980438,622.6846950517837,304.5023014959724,2244.0,1.3424527402053867,2448.6605293440734,mCherryi_2_b2,mCherry RNAi,0.48067362537098557,0.3017776079694876,-67.51839306770677,0.5675533973108365,0.5606262410987339,70
30,8.862809917355372,724.7917355371901,448.8165289256198,779.0,1.3153932529380001,1424.3355371900827,mCherryi_2_b2,mCherry RNAi,0.10459323810371068,0.5825538286362097,-71.63444252749484,0.5918688272883832,1.393146454116992,70
31,10.957198443579767,620.5019455252918,342.59922178988325,1487.0,1.3524123357595523,1660.3766536964981,mCherryi_2_b2,mCherry RNAi,0.37787619651132753,0.3006169810769772,-69.05711718676203,0.4828674654620076,0.6720176979448274,70
32,10.407291011942174,652.8812067881835,388.55311125078566,1843.0,1.2755815789941982,2247.9157762413574,mCherryi_2_b2,mCherry RNAi,0.25808507109022627,0.3896618763894415,-70.10719332327011,0.4673802326061593,0.9858014714389839,70
33,11.448818897637794,683.6220472440945,374.76141732283463,1548.0,1.384751723906237,1902.892125984252,mCherryi_2_b2,mCherry RNAi,0.2988325075677536,0.46740321707433385,-67.99199731249647,0.5547671898289123,1.0019470369230001,70
34,11.611455108359133,696.6524767801858,342.52244582043346,1507.0,1.1917017612280787,2348.1772445820434,mCherryi_2_b2,mCherry RNAi,0.3871843993090809,0.4972873944808871,-66.66185773877328,0.6302432163680329,0.9092455188729054,70
35,10.7265625,715.8157552083334,344.7734375,1787.0,1.4185261397806643,2252.73046875,mCherryi_2_b2,mCherry RNAi,0.3834935349479396,0.5471034700135897,-67.1692360805011,0.6681238644501313,0.9594313990779347,70
