label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,in_plane,sample,type,x_std,y_std,z_std,rotation,int_threshold
1,4.978696741854637,385.11027568922304,720.3671679197995,1082.0,1.4772321373966075,48538.59649122807,28617.07393483709,False,VsxDKD_2,Vsx1/2 RNAi,0.5608600754142512,0.31713010293713606,-50.405599548107155,-100,22500
2,5.477239353891337,408.2026431718062,749.3612334801762,908.0,1.9416130671730174,47751.76505139501,24894.01321585903,False,VsxDKD_2,Vsx1/2 RNAi,0.6414870651789895,0.25408296263942454,-48.81573132146585,-100,22500
3,6.085385878489327,344.632183908046,719.919540229885,754.0,1.4032702939757278,49607.56814449918,29423.344827586207,False,VsxDKD_2,Vsx1/2 RNAi,0.5574792550095851,0.4302638095049991,-49.43506617112459,-100,22500
4,5.593345656192237,441.8872458410351,713.7319778188539,684.0,1.526011359653229,53049.23290203327,27918.560073937155,False,VsxDKD_2,Vsx1/2 RNAi,0.5454751067438524,0.1580801407461616,-49.85768660708176,-100,22500
5,7.542408376963351,332.58534031413615,619.1403141361257,1248.0,1.4935830464257798,51996.67539267016,29105.23664921466,False,VsxDKD_2,Vsx1/2 RNAi,0.28037009707469873,0.45873259403526956,-51.571667255581744,-100,22500
6,7.899655963302752,369.61238532110093,711.5831422018349,2622.0,1.5470012764022525,49155.50114678899,29406.726490825688,False,VsxDKD_2,Vsx1/2 RNAi,0.5357056576795305,0.36001608859089473,-47.84232855756857,-100,22500
7,10.616732617297908,406.19954776710006,700.416054267948,2398.0,1.743120727219494,46984.30751837196,30070.88185415489,False,VsxDKD_2,Vsx1/2 RNAi,0.5066687886094252,0.2571823677152745,-45.41295001956656,-100,22500
8,9.65343347639485,376.0472103004292,700.2403433476395,1163.0,1.3441087919060655,50377.53540772532,29938.39270386266,False,VsxDKD_2,Vsx1/2 RNAi,0.504756330505072,0.3414528923891589,-46.470983372160696,-100,22500
9,8.468791500664011,418.9043824701195,699.3970783532536,1299.0,1.537352217269215,47340.17662682603,26509.709163346615,False,VsxDKD_2,Vsx1/2 RNAi,0.5047250505707315,0.22160155546566607,-47.55795085901315,-100,22500
10,8.684014869888475,431.2825278810409,707.0384138785626,1081.0,1.687565243376041,51611.08302354399,26994.085501858735,False,VsxDKD_2,Vsx1/2 RNAi,0.5262840624803824,0.18739735923708856,-47.03656205748565,-100,22500
11,7.887591240875913,672.0583941605839,672.7007299270073,893.0,1.3862341816850696,52098.88613138686,27274.991240875912,False,VsxDKD_2,Vsx1/2 RNAi,0.4443698878636386,-0.4874335333147345,-48.33268131699617,-100,22500
12,9.497601918465227,280.7146282973621,597.5395683453237,1063.0,1.5543405023856525,47973.60071942446,29701.769784172662,False,VsxDKD_2,Vsx1/2 RNAi,0.21832460265880727,0.602623213843126,-50.53345984074973,-100,22500
13,12.967082860385926,647.8311577752554,652.3972758229285,5022.0,1.6122839678674634,51334.27185017026,31168.016174801363,False,VsxDKD_2,Vsx1/2 RNAi,0.3869760468611647,-0.4207283708099093,-44.04462706889354,-100,22500
14,13.654002713704207,377.91180461329714,636.2320217096336,3076.0,1.6161267708092555,46807.79466304839,32320.14880144731,False,VsxDKD_2,Vsx1/2 RNAi,0.32893755628322063,0.3329539314778702,-44.726645327571966,-100,22500
15,11.446486486486487,277.2356756756757,578.4572972972973,1177.0,1.4957413321495283,45637.96,28517.00972972973,False,VsxDKD_2,Vsx1/2 RNAi,0.16563191153402657,0.6113730494679506,-49.26960912725745,-100,22500
16,11.619158878504672,421.4088785046729,739.0467289719626,572.0,1.6724817307710895,46013.31542056075,22974.890186915887,False,VsxDKD_2,Vsx1/2 RNAi,0.6132741638160968,0.2166729003638419,-43.00268519888508,-100,22500
17,14.331373989713446,464.7810433504776,699.0124908155768,1746.0,1.4793038897085586,49513.047759000736,26989.735488611313,False,VsxDKD_2,Vsx1/2 RNAi,0.5054206092172728,0.09337887097531161,-41.57700008486156,-100,22500
18,13.938923395445135,482.3830227743271,698.5020703933748,1365.0,1.5009010063534052,50965.47101449275,29328.087991718425,False,VsxDKD_2,Vsx1/2 RNAi,0.5049486887502115,0.04414653463553697,-41.93518496839588,-100,22500
19,11.962011173184358,549.9675977653632,736.2312849162012,1242.0,1.8908228808531087,45194.341899441344,22447.09497206704,False,VsxDKD_2,Vsx1/2 RNAi,0.6120183786393443,-0.14283502161307438,-42.3793746206025,-100,22500
20,12.263079222720478,583.321375186846,684.8849028400598,1117.0,1.7676569563507194,50826.3692077728,26306.005979073245,False,VsxDKD_2,Vsx1/2 RNAi,0.47287192232416775,-0.2387252801389419,-43.79221276743559,-100,22500
21,13.496624879459981,378.9681774349084,711.655737704918,1319.0,1.78322462528639,44282.11668273867,29291.193828351014,False,VsxDKD_2,Vsx1/2 RNAi,0.53583471876318,0.33390334161944657,-42.218651506783814,-100,22500
22,12.672676837725382,761.4868238557559,553.8890429958391,1010.0,1.6056727744305224,48413.16504854369,29391.205270457696,False,VsxDKD_2,Vsx1/2 RNAi,0.12261801550097906,-0.7435337067971844,-47.47979733989961,-100,22500
23,15.091930541368743,375.2808988764045,657.514811031665,1259.0,1.436188249383787,45944.12768130746,29642.222676200203,False,VsxDKD_2,Vsx1/2 RNAi,0.38702721103491644,0.34141888026976086,-42.54620147709159,-100,22500
24,16.718851570964247,554.749187432286,686.238894907909,2787.0,1.5898271941504043,49263.83586132178,27237.408450704224,False,VsxDKD_2,Vsx1/2 RNAi,0.4747084697816597,-0.1587577303855745,-39.37591137580478,-100,22500
25,13.794919454770756,664.9516728624535,625.1679058240396,2567.0,1.9504981390282399,37307.9677819083,34308.646220570015,False,VsxDKD_2,Vsx1/2 RNAi,0.31309215719822325,-0.46998975656283615,-44.127783883948894,-100,22500
26,15.676907829534192,436.16451932606543,781.796828543112,1249.0,1.5533754526257513,38427.11793855302,23916.89990089197,False,VsxDKD_2,Vsx1/2 RNAi,0.7308566158903018,0.17766451572897934,-37.39495708629654,-100,22500
27,16.559677419354838,478.4451612903226,709.6951612903226,993.0,1.4607932127667314,45650.958064516126,21295.451612903227,False,VsxDKD_2,Vsx1/2 RNAi,0.5351893659501712,0.05575031515882167,-38.93264601624346,-100,22500
28,18.517364657814095,299.2681307456588,577.6562819203268,2293.0,1.3926918178236638,52001.24872318692,32114.338610827373,False,VsxDKD_2,Vsx1/2 RNAi,0.16386311592759362,0.5497890909668974,-42.16630762625783,-100,22500
29,18.921528488570452,439.2842033435687,752.8751279426817,3811.0,1.7893070754723797,42594.1538723985,22451.500170590243,True,VsxDKD_2,Vsx1/2 RNAi,0.651389878259095,0.16746809932895124,-35.16396812642569,-100,22500
30,17.166107382550337,442.2013422818792,720.9555369127517,1576.0,1.9042565470668025,44593.40100671141,22562.110738255033,False,VsxDKD_2,Vsx1/2 RNAi,0.5641770263288952,0.1576505113677511,-38.03629565787785,-100,22500
31,18.84400139909059,543.2458901713886,722.8569429870585,4285.0,1.9035512032695214,46769.21895767751,25467.898216159498,True,VsxDKD_2,Vsx1/2 RNAi,0.5743356759579299,-0.12469343451539194,-35.993633237786376,-100,22500
32,18.400329489291597,621.5856672158155,656.345140032949,1584.0,1.2832857637943047,56753.02306425041,33817.46540362438,False,VsxDKD_2,Vsx1/2 RNAi,0.39594835423567276,-0.3471241800984457,-38.553033390578804,-100,22500
33,18.745320476460577,649.714690867839,636.8661372660238,2383.0,1.5216844913900873,52282.80487804878,34300.49574588769,False,VsxDKD_2,Vsx1/2 RNAi,0.3439209491528723,-0.4267600247062001,-38.812632929554205,-100,22500
34,18.38769230769231,647.6276923076923,644.9876923076923,562.0,1.9565229205822403,50091.012307692305,33980.08,False,VsxDKD_2,Vsx1/2 RNAi,0.366121250161066,-0.4205081645995642,-38.8895484920335,-100,22500
35,17.76865671641791,279.28026533996683,497.2993366500829,1578.0,1.4183920662239893,43964.246268656716,26824.7960199005,False,VsxDKD_2,Vsx1/2 RNAi,-0.057431060168065096,0.6014983648014653,-45.809907136741145,-100,22500
36,18.075038284839202,341.4326186830015,646.1753445635528,1598.0,1.6132509264627488,49938.535222052065,28556.694486983153,False,VsxDKD_2,Vsx1/2 RNAi,0.35393165520450154,0.43546846621697344,-40.06526529776292,-100,22500
37,17.933858267716534,515.2299212598425,717.5637795275591,882.0,1.5359743738991527,51257.492913385824,25767.535433070865,False,VsxDKD_2,Vsx1/2 RNAi,0.5584928590617524,-0.04665926794090969,-37.172853607097025,-100,22500
38,18.30267558528428,531.4414715719064,707.8060200668897,857.0,1.4023787676866284,49576.954849498325,24172.108695652172,True,VsxDKD_2,Vsx1/2 RNAi,0.5325185684555607,-0.09247855807279581,-37.10075206813634,-100,22500
