label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,in_plane,sample,type,x_std,y_std,z_std,rotation,int_threshold
1,3.853395061728395,619.033950617284,640.8395061728395,886.0,1.7182017451775238,18844.01388888889,31689.560185185186,False,mChKD_3,mCherry RNAi,0.4779871504983322,-0.3501058802318635,-65.22750423556,-90,25000
2,10.09136690647482,404.1820143884892,656.8697841726619,1756.0,1.4105964150561592,44234.71151079137,28431.614388489208,False,mChKD_3,mCherry RNAi,0.4434237429873822,0.3233024984178239,-59.394461683395726,-90,25000
3,8.680939226519337,714.7969613259669,420.25828729281767,953.0,1.4104450795894115,51924.01519337016,38477.493093922654,False,mChKD_3,mCherry RNAi,-0.14347340573620193,-0.7354192188452378,-59.44702793366379,-90,25000
4,10.919184820801124,368.8264230498946,605.0765987350668,1766.0,1.449944144193832,42838.30217849614,39193.58257203092,False,mChKD_3,mCherry RNAi,0.27529897952332516,0.4123845646016031,-58.436269375572124,-90,25000
5,9.602925809822361,722.9498432601881,584.8014629049112,1159.0,1.4407078277739185,51540.419017763845,39116.354231974925,False,mChKD_3,mCherry RNAi,0.3507003785000884,-0.6950293339637706,-59.10743176706934,-90,25000
6,10.696232339089482,287.6530612244898,584.0886970172685,1510.0,1.5087862559587992,47470.62087912088,29528.13814756672,False,mChKD_3,mCherry RNAi,0.18150776518985068,0.6559914959227,-58.71430440523818,-90,25000
7,12.598366235534376,348.3362831858407,586.0401633764466,1812.0,1.529421528147092,47528.00544588155,33116.30905377808,False,mChKD_3,mCherry RNAi,0.21064234574203256,0.4684030533012449,-56.7212805556191,-90,25000
8,12.996744791666666,338.2825520833333,603.4654947916666,2128.0,1.6121152609482468,53001.921223958336,35035.049479166664,False,mChKD_3,mCherry RNAi,0.25878879909332686,0.506572551030241,-56.40220504525644,-90,25000
9,12.25435276305829,378.31264193792583,626.0809992429977,1566.0,1.44674146785996,43927.93868281605,31058.33913701741,False,mChKD_3,mCherry RNAi,0.341635617954809,0.3913308762285366,-57.16182024980198,-90,25000
10,11.9421875,721.9203125,503.89453125,1563.0,1.5964387488575376,45131.74921875,32622.5890625,False,mChKD_3,mCherry RNAi,0.1088839214514501,-0.7241199328437201,-56.47701709483632,-90,25000
11,14.675481846705512,658.3074854325415,539.630210667862,2752.0,1.369505354643407,25388.086508292246,35150.03585835948,False,mChKD_3,mCherry RNAi,0.19113930401347834,-0.5123607375852494,-53.975783048405184,-90,25000
12,15.121052631578948,397.98070175438596,698.5149122807018,1352.0,1.3961036180790154,35919.416666666664,26665.069298245613,False,mChKD_3,mCherry RNAi,0.5653735059816798,0.3592124122813012,-54.52555676778644,-90,25000
13,16.547101449275363,355.8949275362319,602.0265700483092,1114.0,1.2618262224020558,51665.434782608696,38641.02777777778,False,mChKD_3,mCherry RNAi,0.26129088617275786,0.45134662949954985,-52.81823453312892,-90,25000
14,17.247916666666665,401.4916666666667,681.4090277777777,1721.0,1.3637448677619357,26067.358333333334,28568.819444444445,False,mChKD_3,mCherry RNAi,0.515694806717736,0.3414975643177447,-52.331128470343124,-90,25000
15,15.334078212290503,623.6391061452514,665.4167597765363,1158.0,1.6123284756808403,47296.20558659218,28585.20782122905,False,mChKD_3,mCherry RNAi,0.5532158492393455,-0.354515259586924,-53.828431181556894,-90,25000
16,23.727559765448806,329.1461434370771,577.6269733874606,3274.0,1.235356615622987,52300.08705457826,40832.072169598556,False,mChKD_3,mCherry RNAi,0.17828313374048177,0.5246882262542172,-45.59270472065988,-90,25000
17,18.499585749792875,347.06379453189726,596.8757249378625,1525.0,1.5701383499076362,50336.536868268435,39154.31814415907,False,mChKD_3,mCherry RNAi,0.24254985736015722,0.47671740566935905,-50.8613797951616,-90,25000
18,18.788117394416606,356.67143879742304,635.7415891195419,1658.0,1.2845638225424667,43541.627057981386,30262.619183965642,False,mChKD_3,mCherry RNAi,0.36222521055291956,0.4624111174931709,-50.698010254312905,-90,25000
19,21.5687893081761,320.27201257861634,588.9905660377359,3087.0,1.2772125955230578,49133.71383647799,38598.8769654088,False,mChKD_3,mCherry RNAi,0.2087666689984471,0.5567592433069626,-47.806914001160564,-90,25000
20,19.660248447204967,399.8248447204969,641.7962732919254,2060.0,1.3620555328824107,43500.051552795034,29495.63913043478,False,mChKD_3,mCherry RNAi,0.39686592392580233,0.3308722849935686,-49.77813271634741,-90,25000
21,18.931159420289855,420.0380434782609,650.3339371980676,2088.0,1.3536646192647146,39481.95229468599,31565.842391304348,False,mChKD_3,mCherry RNAi,0.4300951569976723,0.27152806085683245,-50.50548459793775,-90,25000
22,17.565139263252473,718.1752021563342,468.46091644204853,1334.0,1.708336306483901,42941.143755615456,26344.31356693621,False,mChKD_3,mCherry RNAi,0.001761559476466612,-0.7266043194082208,-50.731907716135346,-90,25000
23,23.795143734300865,333.0954507396037,525.6653642199275,4904.0,1.6922005204355497,49583.59782305331,34209.22411387106,False,mChKD_3,mCherry RNAi,0.024734117552273505,0.4916833542352894,-45.33067631615701,-90,25000
24,19.169133192389005,370.6074700493305,606.8717406624384,1890.0,1.4735240672393122,46434.66173361522,39007.2621564482,False,mChKD_3,mCherry RNAi,0.2814237037875076,0.4076256028412406,-50.190007752642764,-90,25000
25,19.163693599160545,425.13850996852045,663.8373557187828,1233.0,1.4994526304521514,21185.470094438613,24043.98740818468,False,mChKD_3,mCherry RNAi,0.47235254232784407,0.2610872803130626,-50.31359205606968,-90,25000
26,18.133248730964468,688.2271573604061,488.3489847715736,991.0,1.413445574679787,48291.97335025381,36806.107868020306,False,mChKD_3,mCherry RNAi,0.04962323656974865,-0.62569227346454,-50.28413393403468,-90,25000
27,19.357804704205275,695.0128296507484,553.5374198146828,1799.0,1.5898461793747527,50570.55808980756,31481.483962936563,False,mChKD_3,mCherry RNAi,0.24677766237938048,-0.6207230722993633,-49.284574807516535,-90,25000
28,18.441569282136896,712.8347245409014,564.3422370617697,1346.0,1.5761074660749437,51312.91986644407,33042.142737896495,False,mChKD_3,mCherry RNAi,0.28585286717056424,-0.6717399945623221,-50.211137879118546,-90,25000
29,21.534800409416583,330.09058341862846,478.4723643807574,2434.0,1.4958052353204105,39454.58290685773,34249.192937563974,False,mChKD_3,mCherry RNAi,-0.11727712869687179,0.4821552437502703,-47.425043298325946,-90,25000
30,21.13142857142857,396.7142857142857,630.8485714285714,1286.0,1.43942512831828,50182.90857142857,30753.662857142856,False,mChKD_3,mCherry RNAi,0.36301650961852583,0.3361671234521557,-48.27236192098607,-90,25000
31,19.731455399061034,672.025352112676,607.3577464788732,1305.0,1.519852156280925,53130.47136150235,35374.00938967136,False,mChKD_3,mCherry RNAi,0.39857073918306196,-0.5278727897881981,-49.14283496846248,-90,25000
32,19.306569343065693,689.3667883211679,577.8731751824818,1317.0,1.4756358670668739,52667.299270072996,36745.51003649635,False,mChKD_3,mCherry RNAi,0.3172336220024847,-0.5934803827302919,-49.43300533007563,-90,25000
33,21.114496768236382,630.803324099723,636.6805170821791,1298.0,1.6076098176486833,48164.06463527239,44122.8457987073,False,mChKD_3,mCherry RNAi,0.47026885321039646,-0.38819072857655357,-47.93248442315945,-90,25000
34,20.634328358208954,667.5215588723051,528.6417910447761,1411.0,1.4382313270401736,46914.01326699834,31388.1368159204,False,mChKD_3,mCherry RNAi,0.16194454055856067,-0.5453127214645159,-47.962336643539146,-90,25000
35,21.22231985940246,688.8409490333919,612.6783831282953,1401.0,1.600083418236229,51989.93585237258,40876.66432337434,False,mChKD_3,mCherry RNAi,0.4209181406542992,-0.5779398360223753,-47.64409227679306,-90,25000
36,22.060459492140264,312.46009673518745,506.84643288996375,2102.0,1.409237083227228,47256.433494558645,38764.149939540504,False,mChKD_3,mCherry RNAi,-0.03936392837581393,0.5482174283649324,-47.030548010629566,-90,25000
37,23.204464285714284,381.22232142857143,618.4294642857143,1329.0,1.2473913888288466,44697.5375,31627.566964285714,False,mChKD_3,mCherry RNAi,0.3200299457144786,0.3793141790661927,-46.1794034242343,-90,25000
38,22.67784642541924,408.6584289496911,652.3901147396293,1331.0,1.2827702401363479,49384.51015004413,35117.95586937334,False,mChKD_3,mCherry RNAi,0.43190166464510305,0.3076990791881047,-46.784640555896445,-90,25000
39,22.273626373626374,432.87142857142857,655.4802197802197,1166.0,1.2763272065966587,26526.52967032967,29305.026373626373,False,mChKD_3,mCherry RNAi,0.45041263510353047,0.23376539991733658,-47.160951848441556,-90,25000
40,24.154435925520264,472.1412924424973,680.277108433735,2867.0,1.3422750731937374,23211.360898138006,32293.395947426066,False,mChKD_3,mCherry RNAi,0.5395041285690814,0.1217715501705976,-45.30650866662815,-90,25000
41,21.727631578947367,619.4828947368421,606.2184210526316,965.0,1.798870127364001,52772.01052631579,40793.07236842105,False,mChKD_3,mCherry RNAi,0.37502407531197757,-0.36520643137794606,-47.227376222098854,-90,25000
42,23.387477313974593,676.6215970961888,490.04355716878405,1332.0,1.1999064114474085,50507.32486388385,36334.83756805808,False,mChKD_3,mCherry RNAi,0.05027925631105523,-0.5889544836606719,-45.05481613493302,-90,25000
43,22.319721980886186,688.9782797567333,563.9461337966985,1365.0,1.5161262157139044,51307.20938314509,37333.57775847089,False,mChKD_3,mCherry RNAi,0.27555364878896205,-0.5978151767527442,-46.370096226242666,-90,25000
44,22.66787658802178,697.7114337568058,488.7177858439201,1355.0,1.3329015165631917,56271.51270417423,38373.43284936479,False,mChKD_3,mCherry RNAi,0.05441027261142528,-0.6549579342760041,-45.73556494841542,-90,25000
45,23.642247510668565,666.4217638691323,464.0896159317212,1686.0,1.2787170365946467,44676.62233285917,26613.475106685633,False,mChKD_3,mCherry RNAi,-0.031085677017974378,-0.5676513253297635,-44.72257737850041,-90,25000
46,23.626365054602186,678.2363494539782,539.2964118564743,1557.0,1.520818024308215,52840.41107644306,39528.10452418097,False,mChKD_3,mCherry RNAi,0.19788345006164731,-0.5743016835901158,-44.99158849738397,-90,25000
47,25.732057416267942,303.8636363636364,515.3373205741627,1491.0,1.3175399803136538,47967.02551834131,38930.87639553429,True,mChKD_3,mCherry RNAi,-0.0172872752380131,0.5783172006802098,-43.40358899166661,-90,25000
