label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,bsh_num,x_std,y_std,z_std,r,theta,rotation
1,3.0598031794095384,193.92429977289933,368.8039364118092,1455.0,1.4903643622032032,15957.328538985617,mCherryi_3,mCherry RNAi,932,-0.6085433677920926,0.7147462525496946,-34.691174654830554,0.9387157375998199,2.2761094220863396,-75
2,3.1156118143459914,203.6464135021097,286.93839662447255,1371.0,1.5173484536058444,16395.43206751055,mCherryi_3,mCherry RNAi,932,-0.7952095547600709,0.6542131851975612,-29.756333230072936,1.0297344937740256,2.4531669796905944,-75
3,1.7102342786683107,215.61159062885326,304.4007398273736,919.0,1.9054103252589538,30106.366214549937,mCherryi_3,mCherry RNAi,932,-0.749352437194978,0.6331884236559466,-31.91710065817019,0.9810487526020081,2.44001971898407,-75
4,1.5087719298245614,227.98086124401914,372.45135566188196,726.0,1.61156421172786,19773.937799043062,mCherryi_3,mCherry RNAi,932,-0.5851535787745277,0.6342100933522934,-35.76205443364544,0.8629178137357937,2.3159849329301907,-75
5,3.722260509993108,244.84562370778772,416.499655410062,1811.0,1.5802929045549867,30356.740868366644,mCherryi_3,mCherry RNAi,932,-0.47465632050285167,0.6136984724564609,-35.73284576407199,0.7758378939499535,2.229128362036839,-75
6,3.6858813700918964,245.82205513784461,338.49289891395154,1437.0,1.7079950572425937,18249.501253132832,mCherryi_3,mCherry RNAi,932,-0.656203348034621,0.5759840508417202,-31.286925978164405,0.873132556257,2.4212059082643638,-75
7,2.4967801287948483,253.25298988040478,189.77184912603497,1236.0,1.4114070694756922,18940.297148114074,mCherryi_3,mCherry RNAi,932,-1.0,0.49057568001290885,-23.816219837862445,1.1138512009331085,2.6855128853454926,-75
8,1.6864535768645357,264.2511415525114,264.22222222222223,741.0,1.510169796715718,21065.04414003044,mCherryi_3,mCherry RNAi,932,-0.8215546148786059,0.49775707179299333,-28.6626471582009,0.9605800787796245,2.596866569768622,-75
9,3.258273381294964,272.70791366906474,191.28848920863308,1638.0,1.4701260766069528,21466.462589928058,mCherryi_3,mCherry RNAi,932,-0.9877555554922259,0.4444350607881107,-22.75103703040895,1.0831359843821493,2.718784982242541,-75
10,3.2219419924337958,287.65952080706177,201.6544766708701,2109.0,1.7565287988647162,25754.99558638083,mCherryi_3,mCherry RNAi,932,-0.9569601565641415,0.413098764469797,-23.079162731542848,1.0423163293634705,2.734079200848629,-75
11,1.0603621730382293,311.0241448692153,198.26961770623743,587.0,1.8360628787194826,21367.774647887323,mCherryi_3,mCherry RNAi,932,-0.9547841033282379,0.35509624862272493,-24.572522017814876,1.0186785703813737,2.785531479092605,-75
