label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,bsh_num,x_std,y_std,z_std,r,theta,rotation
1,8.794117647058824,259.53179650238474,415.9960254372019,1490.0,1.664465571608454,17891.680445151032,Vsx1i_2,Vsx1 NE RNAi,607,-0.4936634874979188,-0.6823889074531991,-25.56810844192669,0.8422340885429529,-2.1970774353148133,90
2,10.065413533834587,306.80601503759397,273.24586466165414,1668.0,1.5244239712290288,13574.397744360902,Vsx1i_2,Vsx1 NE RNAi,607,-0.02315570926500754,-0.7368534931869322,-24.451852966924076,0.7372172388742343,-1.602211108172989,90
3,8.421052631578947,382.0863157894737,407.9094736842105,714.0,1.5944449633912658,10216.654736842105,Vsx1i_2,Vsx1 NE RNAi,607,-0.3001854588592996,-0.3990161702300927,-26.535745726220703,0.499324757863716,-2.2157767638353154,90
4,10.162068965517241,219.85862068965517,470.54137931034484,1063.0,1.4491146064203853,15166.789655172413,Vsx1i_2,Vsx1 NE RNAi,607,-0.7035094415760994,-0.7131943022368871,-24.03533977428113,1.001784231823338,-2.349358403368941,90
5,12.413186813186813,248.95736263736265,335.21318681318684,2964.0,1.5575328420435806,10636.931868131867,Vsx1i_2,Vsx1 NE RNAi,607,-0.27933255113791877,-0.8023738122123731,-21.854407741266,0.8496060314342376,-1.9058066479798843,90
6,9.702596380802518,365.81589299763965,386.714398111723,1525.0,1.5945074451384076,10717.442171518489,Vsx1i_2,Vsx1 NE RNAi,607,-0.26273126846116346,-0.46274342865487794,-25.16342716499128,0.5321270526767871,-2.0871791663211456,90
7,12.379966887417218,644.0852649006622,286.71026490066225,1588.0,1.996225186505639,22562.655629139073,Vsx1i_2,Vsx1 NE RNAi,607,0.40806040003084987,0.08495014835553572,-23.79266131820932,0.4168090903266923,0.20524874500973345,90
8,11.808038808038807,374.9029799029799,353.2605682605683,1831.0,1.7111293840421058,7997.370062370062,Vsx1i_2,Vsx1 NE RNAi,607,-0.15522893104716995,-0.48024465493542245,-23.084607735001526,0.5047087770468134,-1.883425454816635,90
9,11.807909604519773,382.3792372881356,396.84533898305085,1765.0,1.6474838320585679,10491.705508474577,Vsx1i_2,Vsx1 NE RNAi,607,-0.26839191661945894,-0.41125301486994137,-23.14447150523062,0.4910837638797304,-2.14901112645768,90
10,10.971698113207546,395.7989840348331,279.53846153846155,1727.0,1.7183446698853397,11637.211175616836,Vsx1i_2,Vsx1 NE RNAi,607,0.08285655673351355,-0.5167984695454417,-23.98380667350405,0.5233983828005632,-1.4118226043819608,90
11,12.75,391.60510688836104,381.2203087885986,1999.0,1.6117638882951657,11965.478622327792,Vsx1i_2,Vsx1 NE RNAi,607,-0.21124910201004343,-0.4075233072358405,-22.23915871890411,0.45902225331729507,-2.0490341108728454,90
12,11.900616860863606,403.3934201507882,245.75119945167924,1981.0,1.7219640128052118,14074.269362577108,Vsx1i_2,Vsx1 NE RNAi,607,0.18922072668755274,-0.5382722139742264,-23.074025153347307,0.5705624065296284,-1.2327559953989986,90
13,11.16699801192843,424.9721669980119,328.36580516898607,717.0,1.9696219838112707,6784.813121272366,Vsx1i_2,Vsx1 NE RNAi,607,-0.014973969039668744,-0.3898065928561759,-23.957059722043653,0.3900940906793404,-1.609191291158392,90
14,13.213680781758958,618.558306188925,302.37459283387625,2092.0,1.851880775691433,20123.149185667753,Vsx1i_2,Vsx1 NE RNAi,607,0.32813005319119526,0.04233440165701641,-22.84255443024817,0.3308497141768665,0.12830835911341706,90
15,12.350791717417783,416.7332521315469,259.5505481120585,1006.0,1.631347484884671,8824.967113276492,Vsx1i_2,Vsx1 NE RNAi,607,0.1686649804574849,-0.49020211568392247,-22.696388417406197,0.5184071660902436,-1.2394120181519566,90
16,13.74736842105263,420.27438596491226,248.04701754385965,1790.0,1.54486792631275,14665.470175438597,Vsx1i_2,Vsx1 NE RNAi,607,0.20621411991641758,-0.4952167589733505,-21.31100940941421,0.5364362978219988,-1.176222360398231,90
17,11.741818181818182,421.52181818181816,355.4890909090909,810.0,1.822351104603435,6330.829090909091,Vsx1i_2,Vsx1 NE RNAi,607,-0.09666996892696622,-0.3662284112427462,-23.379823891823396,0.3787721374305753,-1.8288708594707415,90
18,13.878378378378379,441.6539039039039,305.50600600600603,1935.0,1.7096921951703137,9826.647897897898,Vsx1i_2,Vsx1 NE RNAi,607,0.07306553731423304,-0.3767247221790718,-21.315061418340534,0.38374482282360034,-1.379225354224739,90
19,14.249702734839477,520.2990487514863,265.73246135552915,2095.0,1.5894308244569508,19543.0564803805,Vsx1i_2,Vsx1 NE RNAi,607,0.29527666790730467,-0.23544068217456016,-21.306881104181155,0.3776514602557005,-0.6731267893740938,90
20,13.831698113207548,525.6943396226416,234.50264150943397,1936.0,1.77956219702401,13019.117735849057,Vsx1i_2,Vsx1 NE RNAi,607,0.3913226408080721,-0.2591862551750832,-21.734621579201082,0.4693729051411966,-0.5849970021474037,90
21,14.005737704918033,546.155737704918,262.8262295081967,1686.0,1.59492356876011,13576.536065573771,Vsx1i_2,Vsx1 NE RNAi,607,0.3394984747631282,-0.1770641910870433,-21.67564881753001,0.38289808321771396,-0.48073573821411797,90
22,12.718785151856018,563.2980877390327,251.90776152980877,1273.0,1.9795527306783312,10036.464566929133,Vsx1i_2,Vsx1 NE RNAi,607,0.3943029211647442,-0.14892333803194435,-23.04054249794447,0.4214889728683625,-0.3611248690586932,90
23,12.483009708737864,642.6067961165048,306.0121359223301,529.0,1.6994363619729846,8895.76213592233,Vsx1i_2,Vsx1 NE RNAi,607,0.35128060903529,0.10405993551369219,-23.69266959629916,0.3663693989177017,0.28799471137019245,90
24,13.020474137931034,665.0269396551724,339.0625,1214.0,1.9453403744987228,7422.568965517241,Vsx1i_2,Vsx1 NE RNAi,607,0.28878336403601645,0.1964118165515727,-23.28236421581154,0.34924695134681855,0.5972693054669119,90
25,14.13817097415507,250.3051689860835,513.8777335984096,1174.0,1.4296798579128802,16316.81212723658,Vsx1i_2,Vsx1 NE RNAi,607,-0.7839803474196032,-0.5895540701874218,-20.23113596473926,0.9809175229420245,-2.496812081425485,90
26,15.32133676092545,365.1111825192802,241.59768637532133,1828.0,1.5976944171681902,15295.005141388176,Vsx1i_2,Vsx1 NE RNAi,607,0.14773874713376012,-0.6345836489068868,-19.46406362449995,0.6515544066803878,-1.342058778003021,90
27,15.47970479704797,390.00073800738005,235.2309963099631,1605.0,1.4732803382788648,16544.5704797048,Vsx1i_2,Vsx1 NE RNAi,607,0.2004275250335199,-0.5825725229661105,-19.42393504397954,0.616085982072439,-1.2394420334526375,90
28,14.659945004582951,466.8551787351054,358.4857928505958,1436.0,1.4415195754272407,12865.914757103576,Vsx1i_2,Vsx1 NE RNAi,607,-0.042062026990187795,-0.25434621025339077,-20.68485588302061,0.2578007152526644,-1.7346861573175592,90
29,14.637614678899082,510.26548165137615,343.19839449541286,2125.0,1.5428479021166586,14319.150802752294,Vsx1i_2,Vsx1 NE RNAi,607,0.0616914497155725,-0.16854330841045018,-20.91117933729486,0.17947891736343055,-1.219915256269421,90
30,15.03171456888008,533.7680872150644,253.5966303270565,1597.0,1.9080919142439174,8592.525272547076,Vsx1i_2,Vsx1 NE RNAi,607,0.3484314255214682,-0.21748032039354404,-20.584237179527584,0.4107336704598261,-0.5580019857984053,90
31,16.980392156862745,577.4125490196078,242.26823529411766,2337.0,1.4820036666541072,18643.06588235294,Vsx1i_2,Vsx1 NE RNAi,607,0.44129701347801076,-0.12644960794592675,-18.84282821084568,0.4590561593686443,-0.27906364606059014,90
32,16.90759075907591,566.3382838283828,242.56765676567656,1166.0,1.7303451727499155,10852.036303630362,Vsx1i_2,Vsx1 NE RNAi,607,0.4250361647257883,-0.15256295034908063,-18.861672029365934,0.4515874169460698,-0.3446178567706167,90
33,17.22429906542056,594.8415278342137,241.39780577001218,3347.0,1.6565106373762073,22206.428687525397,Vsx1i_2,Vsx1 NE RNAi,607,0.46802121308383127,-0.08581839215494547,-18.68363027134638,0.47582418216030276,-0.18134975466425649,90
34,14.127312295973885,641.1294885745375,346.26985854189337,1157.0,1.8128107519811314,10738.228509249184,Vsx1i_2,Vsx1 NE RNAi,607,0.23509856666173912,0.14777316655017803,-22.062597455051673,0.27768371359997124,0.561154035775281,90
35,14.12967032967033,660.2615384615384,297.5153846153846,1423.0,1.6976256358547506,7931.778021978022,Vsx1i_2,Vsx1 NE RNAi,607,0.39994783343805107,0.13630204955046699,-22.12777853698922,0.42253581881711405,0.32845504926823865,90
36,13.765358361774744,698.2457337883959,449.6672354948806,1596.0,1.933011947623034,6222.351535836177,Vsx1i_2,Vsx1 NE RNAi,607,0.021440503932825594,0.40554440819314364,-22.758693922079207,0.40611077580583926,1.5179770522349096,90
37,15.607610729881472,295.25077978789767,387.3499688084841,1875.0,1.5045788660645445,15973.613849033063,Vsx1i_2,Vsx1 NE RNAi,607,-0.3627043256882325,-0.6305515346573833,-18.913995294029128,0.7274267425189541,-2.0927941058259494,90
38,14.532347504621072,487.5822550831793,231.76709796672827,785.0,1.6484518318922867,8911.445471349352,Vsx1i_2,Vsx1 NE RNAi,607,0.34604297141299734,-0.3534612334160149,-20.846283977872716,0.49465198027735324,-0.7960027943178435,90
39,14.684931506849315,495.6506849315069,253.82602739726028,908.0,1.4783702033534913,6734.491780821918,Vsx1i_2,Vsx1 NE RNAi,607,0.2947328976319583,-0.30830294640462075,-20.74487166466593,0.4265186838912228,-0.8078972553977779,90
40,16.20271682340648,499.6980146290491,215.18808777429467,1250.0,1.6248600981074897,11934.550679205851,Vsx1i_2,Vsx1 NE RNAi,607,0.40991600632084424,-0.343935767059689,-19.226315139737366,0.5350915287135155,-0.6980964792920971,90
41,16.48406374501992,530.4292828685259,211.87649402390437,1528.0,1.7006104276550924,9556.142430278884,Vsx1i_2,Vsx1 NE RNAi,607,0.46207357571937235,-0.27437974899915285,-19.0933818439825,0.537397651687207,-0.5358489402369379,90
42,18.153034300791557,532.467018469657,260.1240105540897,1934.0,1.7157719242795475,12867.92875989446,Vsx1i_2,Vsx1 NE RNAi,607,0.328131498008416,-0.21289425664736694,-17.460071889693356,0.3911447871296281,-0.5755366219591844,90
43,17.66231983527797,562.0102951269732,256.5078929306795,2085.0,1.692404401310366,18039.02676733013,Vsx1i_2,Vsx1 NE RNAi,607,0.3794950628640823,-0.14654384040288448,-18.093223249740404,0.4068065878255167,-0.3685141794923694,90
44,15.0732421875,615.4970703125,288.3583984375,1620.0,1.856040962976438,10804.9169921875,Vsx1i_2,Vsx1 NE RNAi,607,0.3636170759693833,0.01860065301821745,-20.96059530629421,0.36409251877679166,0.05110995891982999,90
45,14.291777188328913,658.1122900088417,456.18567639257293,1540.0,1.9356461527897133,6618.54818744474,Vsx1i_2,Vsx1 NE RNAi,607,-0.05288913516625959,0.3172920770710508,-22.03963310753029,0.32166989724047307,1.7359668446562115,90
46,15.832444782939833,663.1584158415842,403.55978674790555,1594.0,1.821820994888649,22426.608530083777,Vsx1i_2,Vsx1 NE RNAi,607,0.10334137155799938,0.2676381208642662,-20.495629396894387,0.28689650192228566,1.2023093749268352,90
