label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,type,x_std,y_std,z_std,r,theta,rotation
1,11.11503347534997,270.950091296409,833.5374315276932,1998.0,1.2398179651581913,645.4193548387096,1139.1746804625684,1404.3791844187463,Vsx_enh3_1,enh3,0.9036750166207899,0.2645323890763662,-35.75357840435049,0.9415975363896376,0.284773390664825,-100
2,10.996529786003471,335.6946211683054,848.054945054945,1993.0,1.242514385976293,702.5986119144014,1183.8640832851358,1508.0653556969346,Vsx_enh3_1,enh3,0.8765283840728775,0.07817470401906612,-37.143715419217315,0.8800075524868399,0.08895138452202761,-100
3,11.995705521472393,301.6165644171779,809.2306748466258,1902.0,1.2785300839476859,424.03435582822084,1397.8662576687116,1572.3815950920246,Vsx_enh3_1,enh3,0.8038692998934232,0.20736415660834706,-38.096438457505286,0.8301841631572078,0.25245398764966404,-100
4,12.279889426399446,251.4464409122322,847.9550794747754,1741.0,1.2764999632523586,711.0310988251555,1238.1831375259158,1496.6475466482377,Vsx_enh3_1,enh3,0.9637822040868633,0.30189825026343575,-32.633342140521435,1.0099597469338353,0.3035618310222434,-100
5,12.935110663983904,320.69617706237426,788.5523138832998,2414.0,1.3384464318280949,779.3390342052314,1125.9909456740443,1729.1720321931589,Vsx_enh3_1,enh3,0.72622146127219,0.1773328114509869,-39.63055621334365,0.7475590524028362,0.23949882918678822,-100
6,13.07939767282683,363.7214236824093,858.6420260095824,1674.0,1.2983455561845951,719.2785763175907,1261.3545516769336,1509.4976043805614,Vsx_enh3_1,enh3,0.8761526653540817,-0.0068294426698614075,-35.25930248013246,0.876179282050336,-0.007794651124337938,-100
7,13.06563245823389,188.75954653937947,760.8144391408115,1951.0,1.3734887525400552,861.8186157517899,1089.1998806682577,1529.8031026252984,Vsx_enh3_1,enh3,0.7867033132282508,0.5552530867833418,-36.75328820754099,0.9629164519452021,0.6146061927367834,-100
8,13.89959373186303,344.9767846778874,828.0661636680209,1901.0,1.2319632267475846,876.8543238537435,1182.621009866512,1748.062100986651,Vsx_enh3_1,enh3,0.8104785819889282,0.07342758400908256,-36.287794237704674,0.8137979736741758,0.09035114842037512,-100
9,13.429577464788732,490.76327193932826,861.5823401950163,2150.0,1.3465314708563711,735.9501625135428,1160.8781148429036,1619.5568797399783,Vsx_enh3_1,enh3,0.7517063817708372,-0.34701889877321956,-39.550908266214265,0.8279399739720154,-0.4324927568629049,-100
10,14.014907573047108,511.0954084675015,866.8944543828264,2059.0,1.3889466435571864,272.4913536076327,1118.3410852713178,2021.3649373881933,Vsx_enh3_1,enh3,0.745103999628355,-0.4063049856882679,-39.30436906178994,0.8486835167819128,-0.4992273725822393,-100
11,15.315661182205972,494.5374771480804,891.4527726995734,1952.0,1.3415784336342749,292.539914686167,1071.636197440585,1548.6916514320537,Vsx_enh3_1,enh3,0.830292583385662,-0.3868809460232657,-35.31101730707803,0.9160036246768315,-0.43604454744156,-100
12,16.805443548387096,207.2076612903226,736.8835685483871,2284.0,1.3471088022702438,932.1628024193549,1031.624495967742,1479.5892137096773,Vsx_enh3_1,enh3,0.6999030046585477,0.5300922175329985,-35.747654372424705,0.8779874572105885,0.648207310972019,-100
13,15.625201938610662,215.33117932148627,760.6478190630048,2133.0,1.2922678370926293,901.2364028002154,1163.8314485729672,1834.857296715132,Vsx_enh3_1,enh3,0.7578188290658652,0.48483436316654016,-35.24079898926934,0.8996408935757998,0.5691543245176834,-100
14,17.619233268356076,232.47238466536712,799.2504873294347,3806.0,1.427735946401042,841.2189733593242,1121.9324236517218,1681.524041585445,Vsx_enh3_1,enh3,0.8467075751909439,0.400771886162391,-30.67472234290446,0.9367666852658074,0.4420846816803684,-100
15,15.638090349075975,272.95687885010267,766.8352156057495,2229.0,1.218588382400217,717.3896303901438,1058.2479466119096,1476.3239219712525,Vsx_enh3_1,enh3,0.7149040221660761,0.3256848487943371,-36.92541001637814,0.7855942856484024,0.427471668530953,-100
16,16.220398593200468,301.3546307151231,768.0222743259086,1959.0,1.2186547303507598,345.19460726846427,1402.1488862837045,1620.8769050410317,Vsx_enh3_1,enh3,0.6884209275832973,0.24910406642723015,-37.33836888612345,0.732103960817881,0.34719101817754827,-100
17,16.170510132774282,310.7330538085255,778.8183088749126,1671.0,1.1349020815834274,763.0607966457023,1138.4535290006988,1701.856743535989,Vsx_enh3_1,enh3,0.7086649844732833,0.21343523878002046,-36.8426953539261,0.7401085470196944,0.2925383887817721,-100
18,16.012890094979646,321.17571234735414,829.4905020352782,1697.0,1.2250204183386357,837.0400271370421,1337.8005427408411,1617.8514246947084,Vsx_enh3_1,enh3,0.8386861369977552,0.13515022928554132,-33.14839360337113,0.8495057509329479,0.1597716583377726,-100
19,14.693430656934307,337.8481751824817,811.9124087591241,819.0,1.2230354111866493,1016.3868613138686,1371.890510948905,1951.8934306569342,Vsx_enh3_1,enh3,0.7727885834060129,0.10845682427967662,-36.57892106732635,0.7803621450169816,0.13943405300190473,-100
20,15.98989898989899,368.6425364758698,835.8540965207632,2013.0,1.2609395580035418,707.8759820426487,1149.7800224466891,1517.5123456790122,Vsx_enh3_1,enh3,0.8068683036210862,0.0027935784407397968,-34.4631486753819,0.8068731396377462,0.0034622345008751645,-100
21,16.01356589147287,536.5826873385013,874.8023255813954,1740.0,1.3363611603517378,275.9593023255814,987.5691214470285,2133.9728682170544,Vsx_enh3_1,enh3,0.7399521900738109,-0.4818924657071134,-37.63098336243553,0.8830343096960109,-0.5772521266393967,-100
22,16.417079207920793,511.41212871287127,883.3972772277227,1905.0,1.3183466400062982,239.99071782178217,1206.9090346534654,1906.032797029703,Vsx_enh3_1,enh3,0.789992550169234,-0.42365847584860705,-35.539545745529935,0.8964233003895282,-0.49224988596189184,-100
23,19.20069808027923,185.25770796974984,821.7254217568353,1972.0,1.3496730838754774,934.3304246655032,1104.7865037812683,1685.13321698662,Vsx_enh3_1,enh3,0.9580068922034537,0.5036520358639296,-25.397408280459672,1.0823320094773141,0.48401833954858,-100
24,17.09225413402959,217.6840731070496,805.6353350739773,1568.0,1.4284501620547234,1012.395996518712,869.6788511749347,1833.213228894691,Vsx_enh3_1,enh3,0.8800289902063181,0.43366753084007015,-30.094685178771883,0.9810802978902772,0.4578612028228485,-100
25,17.478950246036085,251.28212137780207,747.1131765992345,2178.0,1.5490916004239361,675.3892837616183,1080.7255330781848,1688.364133406233,Vsx_enh3_1,enh3,0.6821803579897401,0.4028702325511795,-35.91391064336712,0.7922590896309435,0.5334513644975535,-100
26,18.452900810979415,271.6400499064255,864.5096693699314,1945.0,1.207413953200799,754.7816593886463,1445.0636306924516,1848.5633187772926,Vsx_enh3_1,enh3,0.9870443976476608,0.23165781998777435,-25.874068681109904,1.0138648768396712,0.230526201374672,-100
27,17.835408022130014,504.00368833563857,836.4845550945136,2602.0,1.4234746119998725,415.9160903642231,1091.4605809128632,1824.0419548178884,Vsx_enh3_1,enh3,0.66691151897936,-0.3572030684860904,-37.77970892394161,0.75654808590283,-0.4917264986107951,-100
28,19.915831663326653,284.7004008016032,806.1903807615231,2384.0,1.1176970351228617,687.8827655310621,1467.7830661322646,1530.7089178356714,Vsx_enh3_1,enh3,0.8108881840708146,0.2551581683235402,-29.81458068274938,0.8500854885997569,0.30485607770255085,-100
29,19.46061334936861,383.3704149128082,858.708959711365,1950.0,1.3140287264561923,702.0751653638004,1426.3800360793746,1483.8003607937462,Vsx_enh3_1,enh3,0.8540893091366775,-0.05917467455993508,-29.655586127183128,0.8561367823489663,-0.06917340025587077,-100
30,20.80009727626459,148.85651750972764,761.7679961089494,2476.0,1.3980973852306053,1034.2631322957197,798.3915369649806,1704.1862840466927,Vsx_enh3_1,enh3,0.8288551493354988,0.6600865688050441,-27.436827908489775,1.0595825295354715,0.6725318686910426,-100
31,19.825331971399386,249.464759959142,792.708886618999,2384.0,1.3417611935425506,739.5985699693565,1336.2134831460673,2176.0755873340145,Vsx_enh3_1,enh3,0.810190057470481,0.3621507330513061,-29.68075461805975,0.8874463829852594,0.4203519809073076,-100
32,21.256438356164384,297.92986301369865,809.0427397260274,2265.0,1.1393818697383566,853.3901369863014,1351.4701369863014,2027.881095890411,Vsx_enh3_1,enh3,0.804649327829682,0.2171677358772235,-28.749212938901024,0.8334400795994866,0.2636103816681186,-100
33,19.307852675469075,319.3439888811675,793.9214732453092,1744.0,1.3454290374408775,954.5392633773454,1369.3738707435718,2267.9930507296735,Vsx_enh3_1,enh3,0.7408083626536293,0.1754468783407661,-32.78237931597209,0.761300622157286,0.23254705652045493,-100
34,20.09668025626092,333.5014560279557,768.3820617355854,2025.0,1.2470458883631148,775.9871869539895,1136.590564938847,1771.278392545137,Vsx_enh3_1,enh3,0.6548224796533544,0.16333568966915868,-34.68507732521125,0.6748859365693343,0.24444689168307512,-100
