label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,type,x_std,y_std,z_std,r,theta,rotation
1,1.7660550458715596,774.795871559633,583.7706422018349,605.0,1.7834480407681674,414.0550458715596,171.37844036697248,386.14449541284404,Vsx_enhNB3_1,enhNB3,-0.22930540035779134,0.5839005981852996,-76.6468642334624,0.6273124223179369,1.945005132347392,125
2,8.919200695047785,800.5178105994787,601.4578627280625,1435.0,1.2845427850186137,321.19548218940054,164.09296264118157,436.84795829713295,Vsx_enhNB3_1,enhNB3,-0.28275217486719273,0.630920794530496,-69.85562457090315,0.6913825578962199,1.9921173537042982,125
3,8.057894736842105,805.1,736.6078947368421,623.0,1.566475948299558,526.5289473684211,145.42105263157896,503.07894736842104,Vsx_enhNB3_1,enhNB3,-0.5820326951951593,0.5647199168477017,-72.34136656762493,0.8109689530189281,2.3712905649697813,125
4,10.444588464031108,807.00064808814,667.2909915748542,1875.0,1.3852309543238037,441.0168502916397,179.08165910563838,921.4594944912508,Vsx_enhNB3_1,enhNB3,-0.4309722646803632,0.6081001698830728,-69.14684539090534,0.7453340925622167,2.1873501631241163,125
5,11.151515151515152,778.0183227625088,747.6575052854123,1637.0,1.2612293053628234,130.02255109231854,157.34813248766739,452.08315715292457,Vsx_enhNB3_1,enhNB3,-0.5912200018776134,0.4985214469021628,-69.21834033029808,0.773346444772064,2.441054923544649,125
6,11.230907997594707,781.3433553818401,730.5033072760073,1896.0,1.3701456712718278,141.6464221286831,179.55021046301863,525.677690920024,Vsx_enhNB3_1,enhNB3,-0.5554198102455421,0.5155758056191684,-68.9558803757075,0.7578321561883268,2.3933801119685776,125
7,10.370615149974581,843.8764616166751,616.3446873411286,2283.0,1.4578698379300565,146.98576512455517,180.0630401626843,416.8240976105745,Vsx_enhNB3_1,enhNB3,-0.339758943353353,0.7185455086685297,-68.836897277838,0.7948231171879081,2.012482966390005,125
8,10.27336860670194,475.7283950617284,691.1181657848324,750.0,1.3288477471574625,167.5731922398589,219.7495590828924,657.3350970017636,Vsx_enhNB3_1,enhNB3,-0.2977901771282204,-0.13901544903477248,-67.63912407855031,0.3286400533477262,-2.7048367252711274,125
9,12.55483452303699,783.4561972744971,790.4587929915639,2308.0,1.4748743014424919,129.90136275146008,139.64503569110965,362.77482154445164,Vsx_enhNB3_1,enhNB3,-0.688281913558903,0.4863959887747178,-68.3532119123077,0.8428007180991487,2.5263966255785912,125
10,11.726990049751244,812.5702736318408,632.3538557213931,1856.0,1.2907823979018347,442.08084577114425,169.33768656716418,581.0970149253732,Vsx_enhNB3_1,enhNB3,-0.3574193022517659,0.6401784692669843,-67.48458212075414,0.7331964471648498,2.079998682810203,125
11,12.399159663865547,140.52661064425772,298.15406162464984,1846.0,1.3819796486922449,206.61484593837534,598.2254901960785,1190.3081232492998,Vsx_enhNB3_1,enhNB3,0.7526459927085889,-0.6593825032148778,-58.885112252972874,1.000630439216305,-0.7194446626772774,125
12,11.929666366095582,156.63210099188458,288.7601442741208,1438.0,1.334237311588264,121.00450856627593,922.4039675383228,1140.4337240757438,Vsx_enhNB3_1,enhNB3,0.7642672158624069,-0.6184109335696666,-59.3388502135632,0.983125861729098,-0.6802986159926802,125
13,12.758922558922558,164.42424242424244,319.1750841750842,1933.0,1.3593187895537864,150.8040404040404,656.8356902356902,1664.5777777777778,Vsx_enhNB3_1,enhNB3,0.6930997391724156,-0.6183294055591846,-58.915268696389404,0.9288264112416513,-0.7284454302683983,125
14,13.213314580403187,169.67323019221755,277.7037037037037,2606.0,1.5372243382667075,153.9057665260197,606.8476324425692,624.9212376933896,Vsx_enhNB3_1,enhNB3,0.7812032816593819,-0.5832754811223706,-58.00181416421391,0.9749301791174179,-0.6413454818875531,125
15,14.190193965517242,871.1012931034483,628.7925646551724,2165.0,1.344336525405535,148.65355603448276,172.9719827586207,423.3787715517241,Vsx_enhNB3_1,enhNB3,-0.3824460044831758,0.7718322528113424,-65.32590177742613,0.8613883983575453,2.0308407085805875,125
16,15.284780023781213,153.7128418549346,274.58263971462543,2146.0,1.4173969079100082,267.4791914387634,716.961355529132,1188.4310344827586,Vsx_enhNB3_1,enhNB3,0.796932239903736,-0.6168459552774181,-55.799183147960086,1.007769779036907,-0.6587010189613146,125
17,11.624605678233438,832.4779179810726,638.3154574132492,915.0,1.5396862548956982,444.1324921135647,154.70504731861197,403.5315457413249,Vsx_enhNB3_1,enhNB3,-0.38165290046812084,0.6808988741068855,-67.77523837155064,0.7805653164186541,2.0816753500071514,125
18,14.716098334655035,215.71847739888977,294.7057890563045,1585.0,1.6598555425506512,265.11340206185565,752.2458366375893,932.4575733544806,Vsx_enhNB3_1,enhNB3,0.7180463372008459,-0.4908954072819721,-56.972623105384855,0.8698096592117635,-0.5996711958460657,125
19,15.86697965571205,794.4647887323944,794.1400625978091,1799.0,1.503241936444649,129.2057902973396,138.67136150234742,374.30438184663535,Vsx_enhNB3_1,enhNB3,-0.7026257302916769,0.5087180951733434,-65.15001806218564,0.8674543314922736,2.5149243059455597,125
20,15.500319081046586,804.0165922144224,804.2361199744735,1950.0,1.3697320257810495,124.23739629865986,132.49457562220803,345.6751754945756,Vsx_enhNB3_1,enhNB3,-0.7301306873045578,0.524166680255209,-65.69250586075346,0.8988000496404038,2.518948716911778,125
21,15.395475819032761,816.3884555382215,600.5374414976599,1690.0,1.3019741822501492,161.9687987519501,155.07254290171608,385.0717628705148,Vsx_enhNB3_1,enhNB3,-0.289807431727949,0.6666304349832208,-63.462962731316814,0.7269006014103083,1.9808834371123674,125
22,16.953964194373402,152.27877237851663,296.0460358056266,1656.0,1.548881275387378,132.6078431372549,713.9684569479966,810.4901960784314,Vsx_enhNB3_1,enhNB3,0.7505606236945592,-0.6321354032145778,-54.37534217981384,0.9812932374362021,-0.6999586212642147,125
23,16.0304396843292,802.9272829763247,584.9836527621195,2090.0,1.2655843517255543,210.76775648252536,179.3314543404735,441.7040586245772,Vsx_enhNB3_1,enhNB3,-0.24813813306189614,0.6456086103008405,-62.564551362222645,0.6916523771187559,1.93773688114828,125
24,15.716507177033494,806.1303827751196,604.3444976076555,1567.0,1.4747865553175252,185.82296650717703,163.26076555023923,444.7069377990431,Vsx_enhNB3_1,enhNB3,-0.2924318157958382,0.6417638432287336,-63.12624680129749,0.7052497411310163,1.9983544891959708,125
25,17.630753667172485,784.4613050075873,580.6130500758725,2238.0,1.3484414995129752,247.4562468386444,194.87910976226607,476.5467880627213,Vsx_enhNB3_1,enhNB3,-0.22824887436306174,0.6071919170232924,-60.80343315716185,0.6486752444377892,1.9303636441745513,125
26,18.460040295500335,149.78307588985896,308.6272666218939,1845.0,1.3158193959168614,143.70248488918736,725.4801880456682,1037.7736736064473,Vsx_enhNB3_1,enhNB3,0.7242902114665639,-0.6447596991008738,-53.003330169214394,0.9696965401665252,-0.7273716226129259,125
27,18.594763092269325,165.6988778054863,310.0779301745636,1985.0,1.5811835739605318,173.2942643391521,725.3397755610972,960.4438902743142,Vsx_enhNB3_1,enhNB3,0.7121892369598588,-0.6103302078137813,-52.979958680380314,0.9379320187580118,-0.7085309861427421,125
28,18.558932542624166,171.18235730170497,331.62194217939214,1573.0,1.4643036617998884,146.6968124536694,635.826538176427,1039.5285396590066,Vsx_enhNB3_1,enhNB3,0.6618171018824146,-0.6103561469424048,-53.30287603011521,0.9002980075810547,-0.7449689891657049,125
29,17.746497665110073,187.4069379586391,252.08338892595063,1895.0,1.752729879809586,151.62841894596397,684.212808539026,1194.8705803869245,Vsx_enhNB3_1,enhNB3,0.8273936098686312,-0.5294998529389814,-53.27116264765594,0.982318828035912,-0.5692857040862509,125
30,18.007397444519167,213.51311365164761,282.6980497646268,1917.0,1.6427782663695518,273.030262273033,764.7753866845999,1792.497646267653,Vsx_enhNB3_1,enhNB3,0.7455494799415701,-0.48897545795409436,-53.52663534928874,0.8915946531482576,-0.5804831189243856,125
31,17.925714285714285,158.1382857142857,259.77714285714285,1039.0,1.4476052120797882,139.3897142857143,574.1234285714286,621.8228571428572,Vsx_enhNB3_1,enhNB3,0.8268844089869809,-0.5986648182757802,-53.00967831501487,1.0208513067371376,-0.6266528132831513,125
32,19.834917891097668,194.16162489196196,264.8703543647364,1710.0,1.494328640046739,206.0276577355229,726.7649092480553,842.9075194468453,Vsx_enhNB3_1,enhNB3,0.7954747696211211,-0.5217501743210342,-51.37403505289487,0.9513166420849607,-0.5805101545999397,125
33,18.764746703678,205.98126301179735,267.4927133934768,1816.0,1.4774260741887195,526.1221374045801,976.1054823039556,1611.3747397640527,Vsx_enhNB3_1,enhNB3,0.7831300541138593,-0.49706190285875906,-52.545058936941174,0.9275576623207565,-0.5655526340193268,125
34,19.172657252888317,223.68934531450577,308.1379974326059,1818.0,1.3725733793191384,287.3100128369705,983.4062901155328,2181.0924261874197,Vsx_enhNB3_1,enhNB3,0.6839604810058464,-0.4808015569950034,-52.722387752134125,0.8360454992322895,-0.6127143766623075,125
35,19.673025967143616,754.4970853206147,804.4907260201378,2317.0,1.384511098164543,153.61738208797033,137.82140964493905,414.75304716481185,Vsx_enhNB3_1,enhNB3,-0.7030838451826087,0.4143808735544232,-61.23010441641745,0.816111758109445,2.60902140709335,125
