label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,type,x_std,y_std,z_std,r,theta,rotation
1,8.2324431256182,725.9436201780416,213.11671612265084,1285.0,1.5236337252099448,142.2373887240356,638.4470820969337,591.9010880316519,Vsx_enhNB3_2,enhNB3,0.47757397786623446,-0.5986038054101239,-63.7250506503217,0.7657698219350643,-0.8973902628126335,70
2,9.06644332774986,748.7816862088218,216.89056393076493,2313.0,1.577692228024219,151.39419318816303,709.4600781686208,1574.070351758794,Vsx_enhNB3_2,enhNB3,0.4474168385537858,-0.6380412616419606,-64.19001954334016,0.7792807446479922,-0.9592420110092287,70
3,9.63701923076923,727.8950320512821,235.65544871794873,1552.0,1.3407459677115485,125.42227564102564,659.6137820512821,567.1682692307693,Vsx_enhNB3_2,enhNB3,0.42746576276922443,-0.5832255650503355,-64.27425283102454,0.7231037533218577,-0.9383073164945959,70
4,11.705050505050504,749.2010101010101,232.11111111111111,1281.0,1.4401696506706834,159.5050505050505,836.2474747474747,2047.840404040404,Vsx_enhNB3_2,enhNB3,0.4140733048490166,-0.6259975265435154,-62.839487289714626,0.750552866244068,-0.9864059158734014,70
5,11.518030513176145,761.6497919556172,222.61442441054092,1686.0,1.5377262275939185,139.90915395284327,609.0970873786408,1708.3252427184466,Vsx_enhNB3_2,enhNB3,0.4223428166628489,-0.6572450642580996,-62.77642894667484,0.7812454987251717,-0.9996438992211064,70
6,13.618493150684932,741.7856164383562,241.60479452054796,1822.0,1.3646421946288978,126.53219178082192,618.3705479452054,1763.072602739726,Vsx_enhNB3_2,enhNB3,0.40059577525981904,-0.6041630317774327,-61.400105240886994,0.7249068520317039,-0.9852954535733144,70
7,14.054367745876604,693.0360415394014,244.49847281612705,1878.0,1.5944525482529348,445.15638362858886,815.1240073304826,717.0794135613928,Vsx_enhNB3_2,enhNB3,0.44120260745831463,-0.5107573547113846,-59.106485816368064,0.6749317122641274,-0.8583333425610984,70
8,14.320728291316527,721.9341736694678,221.48459383753502,1786.0,1.2844229291982625,377.98389355742296,1112.5098039215686,1566.7640056022408,Vsx_enhNB3_2,enhNB3,0.4623060087703186,-0.584119629394968,-58.182561131197154,0.7449312633992862,-0.9012858198510526,70
9,14.514316012725345,748.7783669141039,186.28525980911982,1189.0,1.2073069448742524,109.54188759278897,580.8430540827147,790.6309650053022,Vsx_enhNB3_2,enhNB3,0.5113104807322657,-0.6639393457899581,-56.235090353320174,0.8380058845823567,-0.9145446313634595,70
10,14.975308641975309,705.0390946502058,181.21399176954733,1749.0,1.210377489511395,383.25308641975306,893.9869684499314,1606.8703703703704,Vsx_enhNB3_2,enhNB3,0.5640328598981594,-0.5866096891719119,-53.473588938501976,0.8137837516657996,-0.8050167084494942,70
