label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,in_plane,sample,type,x_std,y_std,z_std,rotation,int_threshold
1,2.2272024729520865,295.6197836166924,694.8284389489953,755.0,1.4239234019970957,28917.336939721794,35698.91653786708,False,LacZ_4,LacZ OE,0.4495643289186937,0.6757998453276535,-50.4194611655658,-95,22500
2,2.539855072463768,313.2161835748792,698.487922705314,946.0,1.5344228683884962,26825.838164251207,31627.48309178744,False,LacZ_4,LacZ OE,0.4648409377496485,0.61931569351379,-49.51307014381671,-95,22500
3,3.5612403100775194,322.50387596899225,790.6217054263566,775.0,1.294898057362765,20372.432558139535,9131.483720930233,False,LacZ_4,LacZ OE,0.8139210980507368,0.5965447739736407,-41.79386717390037,-95,22500
4,6.279917469050894,372.3562585969739,725.6856946354883,1667.0,1.141931263082974,31007.977303988995,14022.539889958734,False,LacZ_4,LacZ OE,0.57182102478327,0.4307833676329469,-42.7298544892882,-95,22500
5,2.8291770573566084,422.5573566084788,722.8329177057357,984.0,1.3832220719011405,20767.78054862843,11466.92144638404,False,LacZ_4,LacZ OE,0.5662881831650528,0.26836393872907105,-45.41622199940149,-95,22500
6,2.8385214007782102,532.0583657587549,726.1575875486382,850.0,1.637515852840105,27119.43385214008,8486.490272373541,False,LacZ_4,LacZ OE,0.5883018920630587,-0.08474927617728412,-43.0838871303272,-95,22500
7,4.4934289127837514,527.6057347670251,743.3835125448029,1082.0,1.3408376439432552,24035.62962962963,11425.57825567503,False,LacZ_4,LacZ OE,0.6526390812118876,-0.06895147327425022,-40.298647672201966,-95,22500
8,3.929368029739777,604.459727385378,683.8810408921933,970.0,1.4043201763997917,27601.278810408923,38028.505576208176,False,LacZ_4,LacZ OE,0.43430941836885273,-0.3216131028577983,-43.609036098842125,-95,22500
9,3.8265086206896552,645.6411637931035,669.4676724137931,1163.0,1.5925305348584247,28025.02370689655,33129.20150862069,False,LacZ_4,LacZ OE,0.38335899169940024,-0.45563342337944734,-43.94703659834769,-95,22500
10,2.2533659730722153,659.2521419828641,680.8849449204406,1029.0,1.8091686263651876,24727.71481028152,26905.347613219095,False,LacZ_4,LacZ OE,0.428150535081653,-0.4987606033007229,-44.448058030429195,-95,22500
11,3.7321258341277406,675.2955195424214,631.1296472831268,1330.0,1.3047974474424926,25870.719733079124,35282.2602478551,False,LacZ_4,LacZ OE,0.24090220354070113,-0.5543092621472256,-46.1903213799247,-95,22500
12,4.161648177496038,682.0507131537242,643.4778129952456,1720.0,1.547803510452164,25620.233755942947,38174.236925515055,False,LacZ_4,LacZ OE,0.28808332263832526,-0.5751273859980659,-44.75886153207146,-95,22500
13,4.959595959595959,693.4410774410775,674.9674523007857,1194.0,1.7914775901141136,24369.434343434343,33013.95622895623,False,LacZ_4,LacZ OE,0.4079794146322553,-0.6093987696088567,-41.51629433169903,-95,22500
14,7.364548494983278,360.67357859531774,674.638127090301,1865.0,1.5834492877562056,20049.334448160535,28053.685618729098,False,LacZ_4,LacZ OE,0.37740048606340193,0.4645873319294831,-45.48527581896795,-95,22500
15,4.18574297188755,589.7469879518072,649.9518072289156,1422.0,1.4426818296858168,21205.822289156626,7777.113453815261,False,LacZ_4,LacZ OE,0.30461269345154385,-0.2767499867095088,-46.03619380076141,-95,22500
16,8.210171568627452,328.29473039215685,677.8137254901961,1960.0,1.2627074941102703,26918.160539215685,36553.82169117647,False,LacZ_4,LacZ OE,0.3863948048424861,0.5693711062542228,-45.03437796869302,-95,22500
17,9.18836405529954,329.44354838709677,648.6561059907834,2083.0,1.390935884807116,29193.39055299539,35108.004608294934,False,LacZ_4,LacZ OE,0.2759219344524382,0.563457817916373,-46.10141159034231,-95,22500
18,9.54896907216495,389.2854381443299,728.6501288659794,1849.0,1.38860355740567,32368.125,9557.17074742268,False,LacZ_4,LacZ OE,0.5836117249037454,0.37656461931597973,-38.936956253682425,-95,22500
19,8.061553030303031,677.4564393939394,665.2547348484849,1251.0,1.3597425607848854,26514.947916666668,34150.285037878784,False,LacZ_4,LacZ OE,0.3690187143430992,-0.558393465680364,-39.415136968219045,-95,22500
20,8.198076923076924,712.9221153846154,598.0788461538461,1308.0,1.3874410109017599,27746.141346153847,33799.175,False,LacZ_4,LacZ OE,0.11790257009804228,-0.678046181507484,-43.35919965616684,-95,22500
21,9.842989084802687,331.1729638958858,662.9546599496222,1486.0,1.3775136913915504,30743.920235096557,32772.37279596977,False,LacZ_4,LacZ OE,0.3299876270787485,0.5590223016460356,-44.40317389295848,-95,22500
