label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,type,x_std,y_std,z_std,rotation,yflip,dac_threshold,soxn_threshold
1,4.223950795947902,802.9001447178003,437.147973950796,3332.0,1.9415550094912601,32030.470332850942,10577.493125904486,5703.26989869754,Bi_2,Bi OE,0.22005420343863213,-0.6154578925142555,-43.19397188376793,85,True,17500,30000
2,1.2985074626865671,808.2432835820896,302.74626865671644,808.0,1.8870715210205045,19349.79552238806,9385.86119402985,4133.629850746269,Bi_2,Bi OE,0.5009024916308782,-0.5840982203664846,-46.08096454697023,85,True,17500,30000
3,3.3513818386914833,830.7072758037225,280.8945290468133,2132.0,1.638360833188557,23759.064297800338,8287.381838691483,3453.2103778905807,Bi_2,Bi OE,0.5535618395952089,-0.6222209201285103,-43.40900684662113,85,True,17500,30000
4,2.8145454545454545,839.7927272727272,297.3090909090909,1088.0,1.746882919491985,11974.985454545455,7420.646060606061,3138.568484848485,Bi_2,Bi OE,0.522432281754903,-0.645657510385844,-43.67337067578262,85,True,17500,30000
5,3.9322916666666665,880.6622596153846,352.2564102564103,3117.0,1.6193980008867566,29210.38581730769,9270.925080128205,3193.711939102564,Bi_2,Bi OE,0.4216024153609743,-0.74494123335537,-41.347486277386054,85,True,17500,30000
6,5.494300045599635,887.0606475148198,285.68034655722755,2596.0,1.2922585151351473,25632.656634746923,7860.944824441404,3209.079799361605,Bi_2,Bi OE,0.5619174376364435,-0.7367682800786997,-39.66100678653291,85,True,17500,30000
7,4.687083080654943,899.1855670103092,292.55063674954516,1952.0,1.2172317493976184,18563.10127349909,8039.595512431777,3144.2061855670104,Bi_2,Bi OE,0.5515964951547065,-0.7633232490562831,-40.117382779183416,85,True,17500,30000
8,7.503909026297086,864.815209665956,182.01066098081023,2202.0,1.3229720102703582,19412.926083866383,6631.363894811656,3249.675906183369,Bi_2,Bi OE,0.7699489353321014,-0.6593861430706238,-38.372952278516095,85,True,17500,30000
9,6.633049817739976,780.9167679222357,489.00668286755774,1935.0,1.2896621814023506,19283.618469015797,9409.095990279466,4656.335358444714,Bi_2,Bi OE,0.10520703773647999,-0.5874788419480961,-41.366510164786845,85,True,17500,30000
10,6.33485342019544,794.657980456026,572.0032573289902,1833.0,1.5803383670392088,14326.314006514658,9174.35309446254,3765.9954397394135,Bi_2,Bi OE,-0.06267178491170833,-0.6411852516074954,-41.203209662559516,85,True,17500,30000
11,10.445564516129032,857.9100806451613,377.38024193548387,3101.0,1.4419438372962265,23466.307661290324,9727.071774193548,3552.525806451613,Bi_2,Bi OE,0.36199083579879443,-0.7067771229031001,-35.46216279765652,85,True,17500,30000
12,9.384526558891455,859.4953810623557,299.58121632024637,3276.0,1.557508778486185,15327.08660508083,9072.48883756736,3191.7994611239415,Bi_2,Bi OE,0.5240665678662915,-0.6855606817048989,-36.54405329223642,85,True,17500,30000
13,9.753411764705882,823.5124705882353,386.38823529411764,2518.0,1.3522233150197345,16871.152,9514.661176470589,4043.6748235294117,Bi_2,Bi OE,0.33211456821524665,-0.6405737416570474,-37.124119850979994,85,True,17500,30000
