label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,rotation
1,3.3847133757961783,480.16942675159237,775.9936305732484,1109.0,1.6191561014926565,1806.6101910828027,mCherryi_4_b2,mCherry RNAi,-0.4801322216472058,0.023948333562720192,-57.50073413862387,65
2,1.891677675033025,485.57463672391015,766.4900924702774,1033.0,1.7063683967800474,2216.0990752972257,mCherryi_4_b2,mCherry RNAi,-0.4544396810733735,0.03740363360598464,-58.55797785815037,65
3,1.8481262327416172,486.76331360946745,327.6706114398422,673.0,1.4653803738207993,2064.207100591716,mCherryi_4_b2,mCherry RNAi,0.6722700274483644,-0.060765675190818325,-37.36465193165772,65
4,6.5853855470327005,501.42268873637465,774.8720226079936,3428.0,1.465441480747815,2437.292692773516,mCherryi_4_b2,mCherry RNAi,-0.4732738352061746,0.0854770125001294,-54.351893625920795,65
5,5.541843971631206,493.0553191489362,837.3262411347517,1186.0,1.6172381725330256,1854.486524822695,mCherryi_4_b2,mCherry RNAi,-0.6351885771228583,0.07561930452507881,-58.377218496141516,65
6,4.319488817891374,504.6693290734824,794.3334664536741,3469.0,1.4001918714259158,2305.950479233227,mCherryi_4_b2,mCherry RNAi,-0.5222839457760848,0.09935308650254338,-57.57283797642226,65
7,3.037957211870255,499.63699102829537,808.7895100069013,1846.0,1.3540741735698547,2317.055900621118,mCherryi_4_b2,mCherry RNAi,-0.5602705005665074,0.0880572985898449,-59.52841483036098,65
8,4.953399904897765,505.5325725154541,755.9681407513076,2718.0,1.2752891540493065,2445.6990014265334,mCherryi_4_b2,mCherry RNAi,-0.42369984346887657,0.0929910175301023,-55.08662998850735,65
9,3.63757225433526,511.4728323699422,742.8115606936416,2413.0,1.3674467374213082,2432.5757225433526,mCherryi_4_b2,mCherry RNAi,-0.388541610581031,0.10715832321117569,-55.79261388713889,65
10,2.4494949494949494,508.68602693602696,769.689393939394,1440.0,1.4103983698385447,2479.047138047138,mCherryi_4_b2,mCherry RNAi,-0.4579645566423235,0.1052612459325235,-58.26697861350422,65
11,1.7733598409542743,510.83499005964217,817.6600397614314,760.0,1.6306927258754953,2155.9920477137175,mCherryi_4_b2,mCherry RNAi,-0.5805805702979188,0.12259237690118496,-61.274843007666334,65
12,2.204406364749082,514.5422276621787,783.8310893512852,973.0,1.4835489899118888,2473.1321909424723,mCherryi_4_b2,mCherry RNAi,-0.4930310756830725,0.1255330837616624,-59.22455229226589,65
13,4.158976347421481,521.5005816207832,802.8406359053897,3506.0,1.4477932069559265,2149.497091896084,mCherryi_4_b2,mCherry RNAi,-0.5406381248329046,0.15018771111474782,-58.226023665761,65
14,5.3448648648648645,521.4956756756757,758.0421621621622,3202.0,1.683230527988807,2380.5935135135137,mCherryi_4_b2,mCherry RNAi,-0.42578678654022295,0.13982918465288674,-54.87289310867573,65
15,5.062925170068027,526.8287981859411,747.2579365079365,2449.0,1.1898338254791567,2494.221088435374,mCherryi_4_b2,mCherry RNAi,-0.3969710023993456,0.15280915234560744,-54.65813158839363,65
16,2.4254766031195842,525.5667244367418,770.6897746967071,1347.0,1.3535422322881312,2546.117850953206,mCherryi_4_b2,mCherry RNAi,-0.4570553064139251,0.15450449174405323,-58.42067823127145,65
17,2.8325150027277686,527.4729950900164,728.2635024549918,2584.0,1.4841635761847254,2596.6279323513368,mCherryi_4_b2,mCherry RNAi,-0.34780399055770483,0.1502246615217857,-55.96951270824353,65
18,5.859614105123087,522.2355289421158,781.0731869594146,2100.0,1.3589260656226079,2341.6613439787093,mCherryi_4_b2,mCherry RNAi,-0.4848192145710488,0.1473236922672927,-55.47721090250051,65
19,1.6319444444444444,525.0625,825.5092592592592,639.0,1.6154892954172122,2144.9699074074074,mCherryi_4_b2,mCherry RNAi,-0.5977840207303055,0.1657152933168773,-61.86456655026498,65
