label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,r,theta,rotation
1,29.900452488687783,413.31544925662575,731.7226890756302,2010.0,1.3511910083662988,1288.901098901099,mCherryi_2,mCherry RNAi,0.524409700156959,-0.41099555006883104,-26.257306398372293,0.6662753753479808,-0.6647411013237112,-15
2,31.485540334855404,258.4642313546423,732.197108066971,1585.0,1.3170134543981846,1392.982496194825,mCherryi_2,mCherry RNAi,0.5072938095566426,-0.8933346494587705,-26.147748411678506,1.0273236126645369,-1.0543404424717522,-15
3,30.708818635607322,268.3452579034942,681.3078202995008,1449.0,1.4799254464705842,991.9708818635607,mCherryi_2,mCherry RNAi,0.38364226262053447,-0.8549455345488429,-29.292757763840797,0.9370769726727949,-1.1489965499505281,-15
4,31.492990654205606,282.4088785046729,736.7570093457944,1110.0,1.4035223103833505,1145.3703271028037,mCherryi_2,mCherry RNAi,0.5212816538564728,-0.819448293001048,-25.688041388797217,0.9712003230794721,-1.0042281986045951,-15
5,30.665,316.4535714285714,671.3135714285714,1673.0,1.3854263653425183,1331.9407142857142,mCherryi_2,mCherry RNAi,0.3647383758410554,-0.7036347734626264,-29.355629470980688,0.7925502994996422,-1.0925663075664038,-15
6,30.73314606741573,340.47940074906364,704.8501872659176,1400.0,1.3228998072140457,1236.687265917603,mCherryi_2,mCherry RNAi,0.4498468714398427,-0.6338246017705671,-27.431080876474,0.777236021780921,-0.9535673055916982,-15
7,32.035148514851485,344.34653465346537,776.7881188118812,2854.0,1.7925524141967735,1345.8762376237623,mCherryi_2,mCherry RNAi,0.6267017244197302,-0.6325552957699936,-22.60910810999613,0.8904387983445732,-0.7900465624897564,-15
8,31.949661908339593,400.1555221637866,701.8369646882044,1580.0,1.5345318319220282,1279.0886551465064,mCherryi_2,mCherry RNAi,0.4492766709401077,-0.447561251675504,-25.785244532242075,0.6341613367687828,-0.7834854240614427,-15
9,32.532,407.78,742.53,1220.0,1.1375599059867763,1281.613,mCherryi_2,mCherry RNAi,0.5499715954479298,-0.42990813134983663,-23.159035330550736,0.6980614279562006,-0.6634771089503936,-15
10,30.632498543972044,418.9225393127548,761.497961560862,2041.0,1.3262725720417332,1393.8200349446709,mCherryi_2,mCherry RNAi,0.5980551571201989,-0.39799778719519574,-24.029851447139933,0.7183816601016051,-0.5871852983120815,-15
11,33.683680555555554,541.3368055555555,751.1204861111111,3590.0,1.427743742932336,1573.161111111111,mCherryi_2,mCherry RNAi,0.5865193248803791,-0.015299779924471624,-20.301923949607527,0.5867188438459028,-0.026079807383651305,-15
12,30.429502852485736,543.6764466177669,767.8092909535452,1530.0,1.453497149257757,1410.038304808476,mCherryi_2,mCherry RNAi,0.6281434798933423,-0.010431699442442599,-22.721226411831452,0.6282300945400301,-0.016605665613288065,-15
13,31.682822523164646,556.8645759087669,772.3770491803278,1738.0,1.3280058412006601,1498.3157519600854,mCherryi_2,mCherry RNAi,0.6407443365187515,0.029927411773929657,-21.120747186796933,0.6414428694407175,0.046673338516345614,-15
14,31.388429752066116,610.8333333333334,764.383608815427,1822.0,1.3033381914879043,1387.1776859504132,mCherryi_2,mCherry RNAi,0.627465823728169,0.19919547106710112,-21.28034289335004,0.6583252962179973,0.30739743181828916,-15
15,30.991363355953116,630.3689080814312,670.4281307834669,2110.0,1.5346380667248933,1124.7649599012955,mCherryi_2,mCherry RNAi,0.39919781122942855,0.27407357623008055,-26.038686858071202,0.4842264115864729,0.6016493202453557,-15
16,30.934782608695652,641.9855072463768,677.6062801932367,2042.0,1.3451476480822782,1066.5458937198068,mCherryi_2,mCherry RNAi,0.4181792259293837,0.3091788156719668,-25.635268100363575,0.5200628856775097,0.6366471089661823,-15
17,32.28515369522564,693.1458469587966,632.7403531720079,1981.0,1.5998633637575992,1150.2988881621975,mCherryi_2,mCherry RNAi,0.31387771749814086,0.4751701790056848,-25.965102198924484,0.5694786392465808,0.9870343591131618,-15
18,30.163704396632365,722.6052385406922,808.1000935453695,1311.0,1.5478973271978647,941.4059869036482,mCherryi_2,mCherry RNAi,0.747964984033163,0.5407704956659816,-19.306014623592432,0.9229758102586227,0.6259888188048811,-15
