label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,rotation,int_threshold
1,3.9483282674772036,779.5151975683891,636.2370820668693,1071.0,1.9782503673703782,16461.685410334347,Ezi_1,E(z) RNAi,0.39439747407852477,-0.6487365102159045,-38.62617726675761,-90,2000
2,5.588471849865952,583.6983914209115,797.8538873994638,913.0,1.6342103373590808,48728.38471849866,Ezi_1,E(z) RNAi,0.7766431569195733,-0.13141381260586493,-31.819958511644074,-90,2000
3,6.129166666666666,590.9319444444444,803.0777777777778,1046.0,1.6206018384635112,54048.15,Ezi_1,E(z) RNAi,0.789547158201418,-0.14984826694087183,-30.669310525117666,-90,2000
4,5.486795146324054,776.4039971448965,730.6609564596716,1726.0,1.4625431144534446,26790.63097787295,Ezi_1,E(z) RNAi,0.6228277403472233,-0.6352509394000354,-30.423880887729396,-90,2000
5,7.056737588652482,646.6269503546099,764.8063829787234,1988.0,1.3715595629031712,33425.55744680851,Ezi_1,E(z) RNAi,0.6992349640736784,-0.29644302728190197,-30.66357772930826,-90,2000
6,6.179558011049724,657.0718232044198,775.3011049723757,1462.0,1.5585056991753148,28904.87753222836,Ezi_1,E(z) RNAi,0.7253129888970686,-0.3230309025092648,-30.44320753532051,-90,2000
7,8.029923451635351,681.0514961725818,777.1621433542101,1816.0,1.362815753028155,33582.89909533751,Ezi_1,E(z) RNAi,0.7306199232433215,-0.385002990204917,-27.67928326556556,-90,2000
8,7.576357466063349,756.1329185520362,721.0486425339367,2124.0,1.5061175646382787,35293.7528280543,Ezi_1,E(z) RNAi,0.5982153809243393,-0.5830163357890866,-29.694399188765928,-90,2000
9,6.653409090909091,764.4403409090909,675.5971590909091,2199.0,1.3439093005664453,19115.353977272727,Ezi_1,E(z) RNAi,0.4886098217167065,-0.6071938646019146,-33.6012778998938,-90,2000
10,7.696568332329922,789.6231186032511,725.573148705599,2054.0,1.4694959384465904,32253.26730885009,Ezi_1,E(z) RNAi,0.610726747981335,-0.669659516191266,-28.152578732438414,-90,2000
