label,centroid_x,centroid_y,centroid_z,area,aspherity,int,sample,type,x_std,y_std,z_std,rotation,int_threshold
1,3.3577844311377247,207.97754491017963,539.188622754491,925.0,1.4093647744270843,12013.241017964072,mChi_2,mCherry RNAi,-0.31151047575433677,-0.7709264287566996,-45.44108598587027,95,2000
2,2.152141802067947,217.00590841949779,451.6307237813885,846.0,1.4698964463453674,18087.77104874446,mChi_2,mCherry RNAi,-0.054175563329939336,-0.7673064413625253,-45.0962544270443,95,2000
3,1.893305439330544,272.38912133891216,417.41004184100416,609.0,1.5374409380908762,31641.874476987447,mChi_2,mCherry RNAi,0.05943329458421287,-0.6374128198197788,-43.913626418856914,95,2000
4,1.8575851393188854,785.0603715170279,648.4798761609907,743.0,1.6373550519014102,29897.058823529413,mChi_2,mCherry RNAi,-0.48456591191128273,0.6824972722257048,-39.39564426165396,95,2000
5,4.939583333333333,246.9375,578.8958333333334,736.0,1.6730408451321037,14450.4875,mChi_2,mCherry RNAi,-0.4174331229103677,-0.6659249473480486,-43.86895036180695,95,2000
6,3.693127962085308,284.17417061611377,419.49289099526067,1073.0,1.5241814068785684,25306.707345971565,mChi_2,mCherry RNAi,0.05624038142065424,-0.6078301384900695,-41.957790299923175,95,2000
7,5.003058103975535,291.3608562691131,398.6834862385321,1042.0,1.7639837006762946,13701.553516819571,mChi_2,mCherry RNAi,0.11858674134093827,-0.5945374362555923,-40.19855454026605,95,2000
8,5.131707317073171,643.5882926829269,272.6809756097561,1356.0,1.8982515472804367,46128.284878048784,mChi_2,mCherry RNAi,0.5741522510755519,0.2511681095946525,-32.37300142714475,95,2000
9,7.875981161695448,846.1868131868132,469.1083202511774,1169.0,1.5955284299306698,8979.897959183674,mChi_2,mCherry RNAi,0.052904503961294314,0.7952352497699893,-29.51621663383672,95,2000
10,4.91764705882353,177.62794117647059,504.15294117647056,811.0,1.4128102319148406,12507.80588235294,mChi_2,mCherry RNAi,-0.21718673797544807,-0.8537048619857064,-43.80857777590628,95,2000
11,5.911220715166461,218.5659679408138,429.3292231812577,1002.0,1.6853288517642933,20429.498150431566,mChi_2,mCherry RNAi,0.01097657238798111,-0.768365180227245,-40.95522799935992,95,2000
12,5.176470588235294,275.8785578747628,572.3206831119545,700.0,1.5833917933900636,14220.148007590133,mChi_2,mCherry RNAi,-0.3910155574936961,-0.5956341582284161,-43.06030863772835,95,2000
13,6.390070921985815,812.3554964539007,623.3617021276596,1343.0,1.3448371167134074,48852.47251773049,mChi_2,mCherry RNAi,-0.4047760797334108,0.7445726362334799,-34.02155083276341,95,2000
14,7.520742358078603,339.1255458515284,399.84606986899564,1296.0,1.99397885443272,24916.41593886463,mChi_2,mCherry RNAi,0.12708832344800425,-0.4760273094199885,-36.93053406712214,95,2000
