label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,pca_x,pca_y,pca_z,sample,condition,in_plane,inROI,TE,RFP
394,63.733460076045624,684.8034220532319,338.1,3732.0,1.410661890602607,1154.1357414448669,1009.3634980988593,1425.257794676806,-0.6225237909607346,-0.5969482161922087,-13.617467302606059,CantonS_1,CantonS,True,True,True,True
396,62.66959798994975,702.3498743718593,327.92273869346735,2351.0,1.9906926107467804,1144.5414572864322,914.6180904522613,1383.9503768844222,-0.6601834824443134,-0.6621584350937859,-14.717390638414784,CantonS_1,CantonS,True,True,True,True
464,66.93152866242038,682.5435244161359,318.46390658174096,2832.0,1.7170647628688736,1143.0053078556264,1089.4225053078555,951.630042462845,-0.7001295379022161,-0.5905994634162721,-11.274237101121571,CantonS_1,CantonS,True,True,True,True
490,65.67588325652842,679.6497695852535,348.83870967741933,866.0,1.3493459335386164,1186.6651305683563,1652.8387096774193,1450.847926267281,-0.5814061809284068,-0.5768310463554731,-11.349431467569474,CantonS_1,CantonS,True,True,True,True
515,67.52205350686913,746.827187274042,347.59580621836585,2097.0,1.3271997700923222,1233.4323933477947,846.291395516992,829.0751988430948,-0.578958957038455,-0.8219491794667442,-8.1057833495923,CantonS_1,CantonS,True,True,True,True
537,66.82023681377825,700.2152852529601,348.03121636167924,1396.0,1.6221675454787574,1271.9063509149623,984.1700753498385,1374.4198062432724,-0.5824218340423625,-0.6518741952010689,-9.795330424695408,CantonS_1,CantonS,True,True,True,True
543,69.94389820705611,752.834008097166,328.4569115095431,2498.0,1.3784023225445754,1217.8444187391556,1246.9375361480625,1034.6986697513014,-0.6535566224536273,-0.8457681372645073,-6.339158546296133,CantonS_1,CantonS,True,True,True,True
558,70.15353121801434,695.8265097236438,329.8894575230297,2988.0,1.7455479753710765,1295.8162743091095,1119.6192425793245,1575.0470829068577,-0.6544438765598836,-0.6375849290525823,-7.301896676100469,CantonS_1,CantonS,True,True,True,True
578,70.32894736842105,322.1060855263158,349.4457236842105,1521.0,1.4338485296065602,739.235197368421,1387.717927631579,1676.890625,-0.6202929968000416,0.7282046055280553,-14.395339254253969,CantonS_1,CantonS,True,True,True,False
639,71.43159486016629,310.1806500377929,356.6900982615268,1642.0,1.8315345885422598,719.3575207860922,1515.6568405139833,1905.4550264550264,-0.5934782805788302,0.7725885374758512,-13.255205742738966,CantonS_1,CantonS,True,True,True,False
643,72.44873000940734,674.0263405456255,300.7384760112888,1753.0,1.5900570757428145,1258.8222013170273,1603.0649106302917,1457.936970837253,-0.7713453168958185,-0.561038481522577,-6.67133933117826,CantonS_1,CantonS,True,True,True,True
645,71.77169663799843,682.2087568412823,330.2181391712275,1904.0,1.8522975773386092,1284.0015637216575,1906.103205629398,2002.9921813917122,-0.6549636158978569,-0.5877396407783131,-5.966012113166798,CantonS_1,CantonS,True,True,True,True
646,70.93617021276596,693.9285714285714,342.5547112462006,886.0,1.5108996656416787,1309.1717325227964,990.7477203647417,1226.7036474164133,-0.6052309445761459,-0.6292241769651508,-6.043371292642902,CantonS_1,CantonS,True,True,True,True
652,71.6856403622251,753.9094437257438,340.6481241914618,993.0,1.4860987360854658,1282.0297542043984,1826.1746442432084,1257.5692108667529,-0.6060175200001899,-0.8482369645923915,-4.07774137206917,CantonS_1,CantonS,True,True,True,True
675,72.25240384615384,668.1177884615385,286.24679487179486,1734.0,1.9377397834442782,1101.5633012820513,1124.0360576923076,648.4166666666666,-0.828684176602948,-0.541069498173096,-7.587364426399716,CantonS_1,CantonS,True,True,True,True
677,72.63134160090192,684.227733934611,308.73167981961666,1934.0,1.7611576668121356,1183.056369785795,1445.91206313416,1629.2965050732807,-0.7389444029316912,-0.5973790681589976,-5.941965878449622,CantonS_1,CantonS,True,True,True,True
678,73.87735849056604,681.9640330188679,285.00294811320754,2155.0,1.3636685788417893,1190.2629716981132,907.5082547169811,1488.9864386792453,-0.8322464811191967,-0.591606720634773,-5.716070721805551,CantonS_1,CantonS,True,True,True,True
679,71.89142857142858,696.0314285714286,314.6857142857143,1396.0,1.8226679431527602,1301.24,952.5442857142857,743.9128571428571,-0.7141906390058953,-0.6398565954198647,-6.182891428202396,CantonS_1,CantonS,True,True,True,True
683,72.55670103092784,738.6964490263459,347.8041237113402,1200.0,1.7031776845514421,1272.4765177548684,1472.208476517755,901.4822451317297,-0.5798833847005165,-0.7918840626308895,-3.2435327466274515,CantonS_1,CantonS,True,True,True,True
690,72.23442808607021,287.56285390713475,334.50736126840314,1142.0,1.9732568912489217,719.4835787089468,1327.1109852774632,2627.8210645526615,-0.6829652063217204,0.8527650696304607,-13.848240551928697,CantonS_1,CantonS,True,True,True,False
694,73.20534069981584,317.80386740331494,312.7081031307551,1404.0,1.7376213181666198,721.2329650092081,914.2154696132596,1233.3793738489871,-0.7649907378587468,0.7401219182313354,-13.11656168265506,CantonS_1,CantonS,True,True,True,False
696,72.84423076923076,327.5769230769231,293.30961538461537,1505.0,1.802103183601623,760.5048076923077,1059.7788461538462,1828.3798076923076,-0.8397250646847118,0.7023252312591344,-14.05922036182669,CantonS_1,CantonS,True,True,True,False
731,73.34174553101998,311.41535226077815,338.931650893796,1293.0,1.5856674224226945,737.0977917981072,1538.2407991587802,1754.5078864353313,-0.6631321367634593,0.7662943630364256,-12.046324301182423,CantonS_1,CantonS,True,True,True,False
750,74.2671629445823,714.387923904053,311.24152191894126,1737.0,1.6292048100107448,1363.0049627791564,1885.0752688172042,1737.9098428453267,-0.7259732879058058,-0.7070344509612894,-3.5541911824361563,CantonS_1,CantonS,True,True,True,True
751,73.63402489626556,716.6107883817427,346.76182572614107,1605.0,1.5326179881173203,1339.1460580912862,1082.2970954356847,952.5004149377594,-0.5866387372117203,-0.711329969241143,-2.6867597405949226,CantonS_1,CantonS,True,True,True,True
753,74.91330472103004,724.2755364806867,297.90042918454935,1672.0,1.4579189892975837,1318.0497854077253,903.7974248927038,1251.7081545064377,-0.7771576805477362,-0.744515508072731,-3.240603719926625,CantonS_1,CantonS,True,True,True,True
766,74.88949079089925,301.9783315276273,343.6988082340195,1257.0,1.659228254242315,766.068255687974,1680.9609967497292,2357.0530877573133,-0.6458004379132818,0.8013621868807173,-10.509104939258762,CantonS_1,CantonS,True,True,True,False
771,75.50246305418719,343.6453201970443,293.74055829228246,1024.0,1.8107884139637156,786.0032840722496,1458.8505747126437,1218.144499178982,-0.8366506598903545,0.6439387076243941,-11.039323188834587,CantonS_1,CantonS,True,True,True,False
773,75.0858310626703,361.4543596730245,283.4025885558583,1887.0,1.6033660046199667,734.6089918256131,851.0688010899182,690.3589918256131,-0.8750146134728222,0.5778010308820161,-11.493608483134139,CantonS_1,CantonS,True,True,True,False
787,76.10023677979478,686.7868981846882,338.96842936069453,1631.0,1.430490143201059,1306.5059194948697,856.939226519337,933.5303867403314,-0.6209114373323924,-0.6031710068615204,-1.185593166565738,CantonS_1,CantonS,True,True,True,True
790,74.52087286527514,711.7039848197344,327.90607210626183,1470.0,1.6232324669671725,1378.6081593927893,1260.3709677419354,1156.686907020873,-0.6611154294343826,-0.6954101708741935,-2.6775253753955894,CantonS_1,CantonS,True,True,True,True
